ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,3.46478174603175,3.42486111111111,1.77777777777778,3.55082304526749,4.62384259259259,4.04031531531532,3.22899305555556,3.46505555555556,3.43148148148148
0007CB0F67,3.46478174603175,0,3.09508547008547,4.06388888888889,2.68888888888889,2.97083333333333,3.63566308243728,2.00208333333333,4.36759259259259,6.46262626262626
0007CB48B4,3.42486111111111,3.09508547008547,0,2.77092911877395,3.01296296296296,3.42857142857143,2.91388888888889,3.50492063492063,3.31372549019608,2.98095238095238
0007CB6DFA,1.77777777777778,4.06388888888889,2.77092911877395,0,4.12542438271604,2.09259259259259,4.25277777777778,3.11851851851852,3.15,3.38250624219725
0007F29741,3.55082304526749,2.68888888888889,3.01296296296296,4.12542438271604,0,2.99206349206349,3.62335858585859,3.09123563218391,3.12384259259259,2.93472222222222
0007F2B88A,4.62384259259259,2.97083333333333,3.42857142857143,2.09259259259259,2.99206349206349,0,3.30107012750455,2.78632478632479,4.23058785529716,2.03703703703704
0007F2C687,4.04031531531532,3.63566308243728,2.91388888888889,4.25277777777778,3.62335858585859,3.30107012750455,0,5.27863247863248,3.69927083333333,3.51481481481481
0007F2EEFA,3.22899305555556,2.00208333333333,3.50492063492063,3.11851851851852,3.09123563218391,2.78632478632479,5.27863247863248,0,3.05416666666667,2.81587301587302
0007F2F26A,3.46505555555556,4.36759259259259,3.31372549019608,3.15,3.12384259259259,4.23058785529716,3.69927083333333,3.05416666666667,0,3.30816544566544
0007F2F283,3.43148148148148,6.46262626262626,2.98095238095238,3.38250624219725,2.93472222222222,2.03703703703704,3.51481481481481,2.81587301587302,3.30816544566544,0
