ID,0007CB0942,0007CD38E5,0007CD81D3,0007CD86B3,0007CDC395,0007CDC91B,0007CDDBAF,0007CE0327
0007CB0942,0,1,12,5,5,9,11,4
0007CD38E5,3,0,76,71,11,16,50,4
0007CD81D3,2,44,0,86,27,14,62,4
0007CD86B3,4,91,131,0,19,22,76,12
0007CDC395,2,10,30,24,0,29,48,1
0007CDC91B,8,26,33,32,26,0,60,5
0007CDDBAF,4,50,127,104,45,42,0,8
0007CE0327,3,11,36,23,3,3,11,0
