ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,94.5666666666666,875.833333333333,273.633333333333,112.733333333333,175.133333333333,878.833333333334,169.333333333333,205,274.966666666666
0007CB0942,94.5666666666666,0,224.3,87.6999999999999,87,36.0666666666666,140.266666666667,76.1666666666667,39.5666666666667,47.8666666666667
0007CB44CE,875.833333333333,224.3,0,289.5,428.7,262.8,709.3,296.1,184.1,331.166666666667
0007CB7051,273.633333333333,87.6999999999999,289.5,0,76.8333333333333,105.633333333333,280.833333333333,126.4,49.4,387.3
0007CD6778,112.733333333333,87,428.7,76.8333333333333,0,33.9,135.266666666667,26.1333333333334,65.7,67.4
0007CD765E,175.133333333333,36.0666666666666,262.8,105.633333333333,33.9,0,249.633333333333,53.9333333333333,64.6,51.0666666666667
0007CD77C5,878.833333333334,140.266666666667,709.3,280.833333333333,135.266666666667,249.633333333333,0,404,160.2,256.633333333333
0007CDADED,169.333333333333,76.1666666666667,296.1,126.4,26.1333333333334,53.9333333333333,404,0,144.2,76.6666666666667
0007CDC443,205,39.5666666666667,184.1,49.4,65.7,64.6,160.2,144.2,0,65.4333333333333
0007CDDBAF,274.966666666666,47.8666666666667,331.166666666667,387.3,67.4,51.0666666666667,256.633333333333,76.6666666666667,65.4333333333333,0
