ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,38.1660582263158,42.5474982,48.7096752070422,0,53.1015129133333,47.5030632071428,45.757061495946,22.4753596914286,53.4256288458334
0007CB0942,38.1660582263158,0,27.9621339740741,60.6494915296703,0,61.5481808057143,25.8538143883721,50.3116857275,24.1602325993243,16.0167342772728
0007CB30A6,42.5474982,27.9621339740741,0,28.5311053380117,0,25.8276779625,15.286018152027,59.5105636769231,62.1939584117647,69.0317204805555
0007CB486D,48.7096752070422,60.6494915296703,28.5311053380117,0,28.9523892875,59.417477892827,42.9051708133065,52.7469650349776,51.2563526452632,58.3770243655738
0007CD5116,0,0,0,28.9523892875,0,38.9283351666667,0,31.6494447333333,24.8424242333333,28.6922059846154
0007CD86B3,53.1015129133333,61.5481808057143,25.8276779625,59.417477892827,38.9283351666667,0,33.0865420606061,53.4980900849265,57.4287685232877,42.0721715771429
0007CDC91B,47.5030632071428,25.8538143883721,15.286018152027,42.9051708133065,0,33.0865420606061,0,53.8826636759582,58.278715243299,54.6982138642105
0007CDDBAF,45.757061495946,50.3116857275,59.5105636769231,52.7469650349776,31.6494447333333,53.4980900849265,53.8826636759582,0,49.1185290440341,56.3302001465587
0007CDE223,22.4753596914286,24.1602325993243,62.1939584117647,51.2563526452632,24.8424242333333,57.4287685232877,58.278715243299,49.1185290440341,0,55.9911208190476
0007CDEC0B,53.4256288458334,16.0167342772728,69.0317204805555,58.3770243655738,28.6922059846154,42.0721715771429,54.6982138642105,56.3302001465587,55.9911208190476,0
