ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,92,97,306,30,182,351,146,286,188
0007CB0942,92,0,34,92,16,111,124,60,177,203
0007CB30A6,97,34,0,123,18,192,132,66,129,99
0007CB486D,306,92,123,0,44,343,327,220,418,349
0007CD5116,30,16,18,44,0,42,23,43,68,50
0007CD86B3,182,111,192,343,42,0,439,262,505,398
0007CDC91B,351,124,132,327,23,439,0,245,394,233
0007CDDBAF,146,60,66,220,43,262,245,0,362,190
0007CDE223,286,177,129,418,68,505,394,362,0,378
0007CDEC0B,188,203,99,349,50,398,233,190,378,0
