Mouse_RFID,Group_ID,mutant,RC,age
0007F2B9FC,15,FALSE,FALSE,22
0007F2B59E,15,FALSE,FALSE,20
0007F2E3D4,15,FALSE,TRUE,22
0007F2E37E,15,FALSE,TRUE,22
0007F2E455,16,TRUE,FALSE,22
0007CA3B1C,16,FALSE,FALSE,21
0007CB1E1F,16,FALSE,FALSE,22
0007CB3D9B,16,FALSE,FALSE,22
0007CB3F5E,16,FALSE,FALSE,22
0007CB6BC3,16,FALSE,FALSE,20
0007CB2183,16,TRUE,FALSE,21
0007CB2277,16,TRUE,FALSE,22
0007F2B8A6,16,TRUE,FALSE,21
0007F2945F,16,FALSE,FALSE,22
0007CB0CDD,17,FALSE,FALSE,20
0007CB0F67,17,TRUE,FALSE,20
0007CB6DFA,17,TRUE,FALSE,20
0007CB48B4,17,FALSE,FALSE,20
0007F2B88A,17,FALSE,FALSE,21
0007F2C687,17,FALSE,FALSE,22
0007F2EEFA,17,FALSE,FALSE,21
0007F2F26A,17,FALSE,FALSE,22
0007F2F283,17,TRUE,FALSE,20
0007F29741,17,FALSE,FALSE,21
0007CB2407,18,TRUE,FALSE,27
0007F2E3D4,18,FALSE,FALSE,27
0007F2E455,18,TRUE,FALSE,27
0007CB0AD4,18,FALSE,FALSE,25
0007F2BA9B,18,FALSE,FALSE,27
0007CA3B1C,18,FALSE,FALSE,26
0007CB3F5E,18,FALSE,FALSE,27
0007CB2183,18,TRUE,FALSE,26
0007CB0F67,18,TRUE,FALSE,25
0007CB48B4,18,FALSE,FALSE,25
0007CB0AD4,19,FALSE,FALSE,20
0007CB2ED2,19,FALSE,FALSE,20
0007CB39C9,19,TRUE,FALSE,22
0007CB321B,19,FALSE,FALSE,22
0007F2B770,19,TRUE,FALSE,21
0007F2B957,19,TRUE,FALSE,22
0007F2BA9B,19,FALSE,FALSE,22
0007F2CA05,19,TRUE,FALSE,22
0007F2E42C,19,FALSE,FALSE,22
0007CB0DBC,20,TRUE,FALSE,27
0007F2B9FC,20,FALSE,FALSE,27
0007F2E37E,20,FALSE,FALSE,27
0007CB321B,20,FALSE,FALSE,27
0007F2B770,20,TRUE,FALSE,26
0007F2CA05,20,TRUE,FALSE,27
0007CB1E1F,20,FALSE,FALSE,27
0007F2EEFA,20,FALSE,FALSE,26
0007F2F283,20,TRUE,FALSE,25
0007F29741,20,FALSE,FALSE,26
0007F2B3FF,21,FALSE,FALSE,27
0007CA3A72,21,TRUE,FALSE,27
0007F2B59E,21,FALSE,FALSE,25
0007CB464C,21,TRUE,FALSE,25
0007F2B957,21,TRUE,FALSE,27
0007CB2277,21,TRUE,FALSE,27
0007F2B8A6,21,TRUE,FALSE,26
0007F2B88A,21,FALSE,FALSE,26
0007F2C687,21,FALSE,FALSE,27
0007F2F26A,21,FALSE,FALSE,27
