Mouse_RFID,Group_ID,mutant,Timestamp_base1,RC,authority,hub,eigenvector_centrality,constraint,pagerank,incloseness,outcloseness,instrength,outstrength,indegree,outdegree,transitivity,summed cocitation,summed bibcoupling,summed insubcomponent,summed outsubcomponent,summed injaccard,summed outjaccard,out persistance
0007AC2B02,1,False,0,True,1.0,0.39565531550487226,1.0,0.5098807265984661,0.17610275618430807,0.06716417910447761,0.09278350515463918,316.0,185.0,9,6,0.3055555555555556,20,18,45,44,4.500000000000001,5.402777777777777,3.0
0007CB0942,1,False,0,False,0.2662192061397542,0.14462599388581573,0.2876085370458132,0.48064374081934275,0.06338559086128819,0.125,0.16363636363636364,89.0,66.0,0,1,,0,8,1,45,1.1,2.7178571428571434,1.0
0007CB44CE,1,False,0,False,0.42948093817303834,1.0,0.6886244464170787,0.48676094985597107,0.1598290358815971,0.07563025210084033,0.03643724696356275,225.0,399.0,7,8,0.39285714285714285,16,20,45,44,4.508333333333333,4.877777777777778,3.0
0007CB7051,1,False,0,False,0.3920823070822018,0.19386235087065928,0.4161454672176897,0.4811692385050048,0.08693095454478443,0.10344827586206896,0.140625,135.0,84.0,1,2,1.0,7,14,45,44,2.742857142857143,4.085714285714285,1.0
0007CD6778,1,False,0,False,0.18664158416775062,0.19201123943217016,0.1945160314827839,0.4330346410645974,0.0471673020080359,0.16363636363636364,0.140625,60.0,83.0,2,2,1.0,12,14,45,44,3.594047619047619,4.264285714285714,1.0
0007CD765E,1,False,0,False,0.2419632598662078,0.19861885009576705,0.2519007783667136,0.4822413964401652,0.057964719813135016,0.15254237288135594,0.1232876712328767,77.0,83.0,1,2,1.0,7,14,45,44,2.742857142857143,4.085714285714285,1.0
0007CD77C5,1,True,0,True,0.6820258083411745,0.6774905769611897,0.8696650106019648,0.5243270647322263,0.17959181556462844,0.0625,0.09375,278.0,271.0,5,5,0.8,18,21,45,44,4.893650793650794,5.523809523809525,4.0
0007CDADED,1,False,0,False,0.3823886600485051,0.35281679147111844,0.4205326297092817,0.48325213510663095,0.08120735770359484,0.13846153846153847,0.10465116279069768,118.0,137.0,4,3,1.0,18,18,45,44,4.7444444444444445,5.2825396825396815,1.0
0007CDC443,1,False,0,False,0.30162055147887246,0.1637659617707986,0.34864719898523017,0.4484175619605354,0.07403049996369003,0.09782608695652174,0.14516129032258066,107.0,72.0,3,3,1.0,16,15,45,44,4.6,4.315873015873016,2.0
0007CDDBAF,1,False,0,False,0.25980719796884155,0.3341854644419473,0.3179147021502292,0.48252161293729795,0.07378996747493795,0.10975609756097561,0.13846153846153847,99.0,124.0,3,3,1.0,16,18,45,44,4.466666666666667,5.015873015873016,2.0
