Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,RC,RC values,Mutants,Others,All,histology
0007CE0327,38,5,2,6,81,FAUX,"28,41","29,13","0,72",9,"-21,6111111111",7,"-2,4992063492","1,4147448522","0,6217905251","-0,3354348049","0,3",1,1,"0,1607133343","0,0758946269","-1,5864616765","-0,9030724962","-0,8170284493","-1,8646812096","-0,7346398155","0,5127654758","2,2232965027","-0,7703798493","-1,4743096665","0,3208549767","-0,0245464256","3005,4666666667","3,5434564643","0,093508971","1,2383637741","-5,6529195189","-2,2494748278","-1,2852205304","-0,6544761078","-1,3407145551","1,2908757481","-0,0784861347","0,9364532002",FAUX,,,"3469,1222222222","3005,4666666667",strong
0007CDEC0B,36,5,2,2,81,FAUX,"31,29","30,86","-0,43",3,"12,9166666667",1,"10,8576097106","2,645489816","0,7451419813","-1,6666337564","0,55","0,9090909091","1,1","3,8120283266","-0,3416532288","3,0706529941","-1,7551054399","2,4160576088","-2,0926552846","0,2388429037","-2,7468739249","3,168420111","-0,3336542768","-0,4958534204","3,4352976758","-3,0559165392","1551,2523809524","1,2173815427","0,1079818764","-10,3498052446","0,196280912","-0,0435616488","-0,9847305433","-3,8116040112","2,0666651365","-0,0349811845","-0,6023818681","-0,9850741443",FAUX,,,"5640,9488888889","1551,2523809524",strong
0007CDDBAF,32,5,3,9,64,FAUX,"31,31","32,86","1,55",7,"-3,7",6,"-1,0569703244","2,1180369733","1,2876910664","-0,844372644","0,5","0,7142857143","1,0769230769","2,3487812805","0,1227052804","-3,2919539951","-0,6118990722","-0,469660933","-1,5070800561","0,7700695085","0,7557208116","2,3348817319","-1,1565082097","-0,4433839391","-4,1644334495","1,0460827804","12572,8333333333","1,8438824265","0,0944420983","5,4696837016","-1,1887117284","-0,8443514086","-1,3937263083","0,5802031607","-0,0437350983","0,2949369021","-0,5946849876","0,6415073018",FAUX,,,"743,4844444444","12572,8333333333",strong
0007CDE223,33,5,2,4,81,FAUX,"31,39","31,64","0,25",6,"-3,6643939394",2,"10,8150866525","2,0775184121","1,9776246897","-0,9998846342","0,35","0,875","1,1666666667","1,0702000391","0,4695627463","2,3918255144","0,13086483","7,5160314472","0,399264282","-1,6936207589","-0,4553896435","-1,2493391098","2,5368266479","2,755344856","-0,0506276445","-2,3927579117","4716,580952381","1,0941221742","0,1912371956","4,3825235833","1,442785717","-0,8931671212","-2,6724436973","-0,9924062448","0,565429459","-0,47436432","1,0433851732","-1,7775359249",VRAI,,,,"4716,580952381",strong
0007CDEEE2,37,5,2,8,81,FAUX,"31,82","31,13","-0,69",4,"6,9431818182",3,"4,2987468672","2,0448298775","1,761709335","-0,7190648658","0,6","0,8571428571",1,"1,4827479965","-0,3461339706","2,7631777851","0,3245019496","2,6122488972","-1,9127001492","-0,1187989367","2,8132594583","1,5740076491","-2,1478937992","-1,9124779297","-0,4503112948","-1,0214358523","5581,4880952381","1,229779023","0,1443189114","0,6789995283","2,6833408652","3,8387272325","4,3801215807","-1,6279057805","0,4714762477","-0,463322198","4,0668536076","-0,0784712396",FAUX,,,,"5581,4880952381",strong
0007CD77C5,23,5,2,10,64,VRAI,"32,59","34,18","1,59",1,"28,15",4,"3,7386035791","2,240921307","1,2804767657","0,7075490386","0,3","1,2","0,8333333333","-1,9906144207","-0,0331229508","-2,0477212417","-0,8248491503","8,8139243007","-2,5690797187","7,2892659171","-0,8128885498","0,294201968","-0,2180262608","-0,9975798284","0,4493224043","0,579724915","7560,2595238095","1,5344892271","0,1383868468","6,4780556713","-0,6187982797","0,0145019916","-1,9236940531","1,069399197","0,0563917648","0,5474261647","-0,8707677319","-0,7176826166",FAUX,,,,"7560,2595238095",strong
0007CB3491,9,5,2,3,62,FAUX,"32,79","32,29","-0,5",5,"0,3800505051",8,"-5,9199134199","0,5558824296","0,4463741221","-1,3027938863","0,35",1,1,"1,8899087447","0,3626126326","1,7580086158","-1,4753827759","5,0134555469","-1,4632618849","-1,4232332087","-3,3635737037","-1,8737026898","-0,9844665537","2,5128879481","3,6065098377","-2,3333968218","4744,2023809524","1,3462541634","0,1305493171","4,6716534701","-0,7209822518","-0,8388851396","-1,2972279231","-0,983957437","0,2730964539","0,2687377438","0,189041246","-1,3960209519",FAUX,,,,"4744,2023809524",strong
0007CB0942,5,5,3,1,62,FAUX,"34,51","32,81","-1,7",10,"-23,1143939394",10,"-13,0331002331","-1,6102420084","-0,6403007619","-1,27499432","0,4",1,1,"3,2539577211","-0,4421260922","2,9414360294","-1,7141469327","-0,2552830516","-1,4798747381","1,2442194071","0,0081382565","1,6837645702","-2,4388054508","-1,5621911202","-0,0372345536","-4,0142315897","5214,5023809524","1,5827726603","0,0963370928","-0,5005100686","-2,1820870677","0,7376770757","-3,0631938462","-0,880375712","-1,669290994","-0,9426108829","0,3295524511","0,9762635434",FAUX,,,,"5214,5023809524",strong
0007CD72E3,21,5,1,7,81,FAUX,"35,94","34,91","-1,03",8,"-15,6166666667",9,"-7,2347985348","1,499300817","1,7330023783","-0,8849623117","0,35","0,25","1,1428571429","0,8285482775","0,3693251389","0,2703664867","-1,1589657326","4,3714954176","0,55592965","-1,0919295591","-1,8545882892","-2,4312058941","-2,1385824124","4,3427912229","1,1179515329","-1,6318986968","6103,0928571429","1,0787923519","0,1311481805","0,7805569015","1,6956051843","-1,7317721012","-4,6532633664","0,3980419383","-1,5119106819","-0,4086296141","0,4936505075","0,1458069106",FAUX,,,,"6103,0928571429",strong
0007CB4837,14,5,2,5,62,VRAI,"36,62","34,64","-1,98",2,"19,3166666667",5,"0,0339420521","-2,3872474885","-1,2774911448","-0,7299120703","0,3","1,1428571429","1,2","0,6781322918","0,4222736689","3,433548841","0,0639369258","14,1495921372","-3,6748209107","4,833695856","-0,5825477991","-1,3565622001","3,5412535824","1,1085835939","1,413542839","-3,5582722078","1718,5166666667","1,3887423797","0,0912885836","-9,503080994","0,2496295651","1,9106126258","-1,1124887432","-1,6244106263","0,2456533735","-1,1874042496","-0,0917379274","-3,1226968601",FAUX,,,,"1718,5166666667",strong
0007CDAD6B,27,6,2,1,91,FAUX,"27,82","28,56","0,74",9,"-14,7333333333",10,"-25,538172043","1,5589509337","1,9622349431","-1,1368451697","0,3","0,8571428571","0,8571428571","2,9887575577","-0,9722017217","0,1038955084","-1,1665540995","2,5747880169","-5,2110566708","-3,0427454419","1,7122729988","-0,1610270172","2,0767424976","-0,336279201","-0,4356555858","-2,3401142884","249,0916666667","1,2709622067","0,0698091956","-3,7553206168","-2,363572188","-5,1396800236","-2,9844588224","5,6597543467","0,2593921291","-2,1091490754","-1,4996236987","-5,6781626814",FAUX,,,,"249,0916666667",strong
0007CB6AB4,16,6,2,2,73,FAUX,"29,18","28,92","-0,26",5,"-7,6666666667",1,"23,0112581674","2,2468789472","2,2296379913","0,3438162467","0,4",3,"0,8888888889","-0,8939312283","0,1949369999","0,0566876433","-0,1809499513","-5,3223537045","2,1328435406","1,2335171731","-2,0404166637","1,0189456935","1,9399745607","1,1506332118","-0,8159648792","-1,3754362829","5040,5138888889","1,5087706071","0,0899467371","1,6621394706","4,2523525358","-2,4669853014","0,3434257757","1,8305238474","3,047525315","2,2198351793","0,9944106957","0,1072388376",VRAI,,,,"5040,5138888889",strong
0007CDE4F0,34,6,2,10,75,VRAI,"30,01","29,52","-0,49",10,"-17,9",3,"12,0192640693","2,1437435538","0,69228497","0,5790326432","0,35",1,"1,1666666667","-1,3468873891","0,0747209582","-1,9818985087","0,4325081483","-4,5482321127","-1,3838480128","1,2218387623","0,3664820915","0,0630802235","0,4846147672","-2,4237014311","0,0033685146","-0,5823626216","1994,8555555556","3,2143665112","0,1111943499","-4,7643156922","0,1850615216","-2,5731144541","-1,9791537542","2,1105153258","1,1478355247","1,803890675","-2,6679716841","3,5262671468",FAUX,,,,"1994,8555555556",weak
0007CD765E,22,6,3,5,75,FAUX,"31,39","30,82","-0,57",4,"-0,1666666667",8,"-14,8557922584","-1,0554920106","0,3498494688","-0,9395846845","0,45","0,9",1,"2,3538356818","-0,8356392433","-0,0387686702","-1,1518364296","6,0421812386","-4,59988903","-1,9528045424","0,58717646","0,7086941551","3,5308501878","-0,598000502","-0,2311295915","-2,4373888813","103,6444444444","1,9526436777","0,2328473413","-4,5434270017","-5,0355012133","-3,2596467359","5,8298972172","2,9627096471","1,8910907483","1,1583761788","0,8772491271","-3,4173949814",FAUX,,,,"103,6444444444",strong
0007CD5116,19,6,3,3,74,FAUX,"31,61","31,88","0,27",8,-14,9,"-19,0428571429","0,0371445945","1,0554275043","0,5725108903","0,35",2,1,"-1,8404309355","0,237611718","1,2237285116","3,2910553971","-6,025767116","-0,683889484","2,4866846631","-0,7576201799","-0,3628034131","0,4628676823","-2,3429670944","-1,0781765213","-1,3348533513","306,6472222222","1,9264389451","0,1305064633","-2,7664663727","-5,0590218361","0,3882309159","2,918759377","3,335168231","3,2380361447","1,6190092011","-0,1936083681","-1,1165572574",FAUX,,,,"306,6472222222",strong
0007CD86B3,26,6,3,7,91,FAUX,"32,58","32,46","-0,12",1,"31,25",7,"-10,1158869396","1,6966467404","1,4905746514","-0,1856063069","0,35",1,2,"-0,0418308872","-0,2143391178","-0,1690524782","-0,0909192674","-4,1671602576","-2,9813539527","-1,5696935922","0,8001053035","2,0445815488","1,7968337824","-3,8122360523","-1,4737783821","-1,4808519599","2521,9555555556","1,285936014","0,1336011296","-0,1979418203","1,4340619655","4,8199365588","-0,594874937","6,1935269146","1,5336591336","0,7199963452","-1,3376031337","-0,3342382376",FAUX,,,,"2521,9555555556",strong
0007CDC395,29,6,2,9,77,VRAI,"32,67","31,88","-0,79",2,"26,8333333333",5,"5,3256836659","2,8895147126","0,9357006044","0,3246909545","0,35","0,6","0,5714285714","-1,0182257489","0,0598877071","-1,4793723406","0,1101446899","-5,8631855442","-3,2201726291","1,0294616159","-0,7313128785","0,7964035502","-0,6138042928","-1,1508592181","-2,4701377388","-1,8059858524","2591,1277777778","1,9343421657","0,108921898","2,5043570019","1,7642052243","0,4669190087","-0,2184132191","2,6721778963","-1,2566000403","3,0999936978","-2,1682393465","1,2774778728",FAUX,,,,"2591,1277777778",strong
0007CB7051,17,6,3,4,74,FAUX,"33,63","33,82","0,19",3,"16,75",2,"19,5669570267","2,275446221","0,8646614372","0,2869257495","0,4",1,"1,1428571429","-0,9608624267","0,1030319804","-2,7572816796","0,2168742229","-2,1192734142","-2,0760375531","0,1575671095","0,7669873039","0,594654163","-0,2378644893","-0,4661324979","-3,2846339487","-2,2861477712","1654,2888888889","1,4383445242","0,1316006878","4,884209181","2,3391808286","1,7576520857","3,0479929593","-1,4216671679","2,9803954428","2,3522247297","-2,8188262342","-2,37859897",VRAI,,,,"1654,2888888889",strong
0007CDC443,30,6,3,6,73,FAUX,"34,07","33,26","-0,81",7,"-11,5",6,"3,9106060606","0,191592798","-0,7059786207","0,7041513825","0,35","1,1428571429","1,1428571429","-1,6320985464","-0,2396780664","-4,1136055889","-0,1137668146","-7,7692477876","-1,52756773","0,7782597144","-2,0688694017","-1,0651040152","1,1207559253","0,7020885669","-2,2472874889","-1,928628615","1129,1305555556","2,0514095865","0,0904260161","-9,4132648092","1,5428655331","-2,8710041037","-0,9626276702","5,3237829149","-2,1451246991","-0,7018218804","1,4036347504","-1,5271317092",FAUX,,,,"1129,1305555556",strong
0007CDADED,28,6,3,8,73,FAUX,"36,98","34,87","-2,11",6,"-8,8666666667",4,"5,7189393939","0,8688649035","-1,2513635338","-0,046662822","0,35",1,"1,1666666667","-0,4721983794","0,29336246","-2,6939553891","0,2597424246","-4,2372338897","-1,6737474228","-1,9995006093","-1,9992209936","-2,4853080698","0,204479747","2,5052836589","1,7678356974","0,3077088312","1295,5555555556","3,0620337191","0,1281303602","-7,8668136918","1,5150965594","-0,066994013","1,0272301818","4,3087427828","-0,7586888799","0,6799011556","0,8854168302","-0,2825784367",FAUX,,,,"1295,5555555556",strong
0007CE0327,38,7,3,6,85,FAUX,"29,61","28,63","-0,98",4,"2,7051948052",5,"1,9285714286","-0,04148834","0,5314100174","-0,1571745929","0,3","0,5","0,8571428571","-0,0914845294","0,1659478641","1,0461715687","-0,0504070995","0,0810051739","-1,7141130041","0,1217915608","2,8648341219","0,6693348812","-1,2129731588","-3,8067247167","2,7332364694","-0,5497919234","2111,8904761905","2,6900147858","0,2303397768","-3,7779128782","-0,4465131509","-3,5823868061","3,0413785404","1,6782353348","-1,9018785009","2,5171135297","3,0170898868","1,800774728",FAUX,,,,"2111,8904761905",strong
0007CDEEE2,37,7,3,8,85,FAUX,"30,45","30,25","-0,2",3,6,3,"16,103788884","1,8703161981","0,055191814","-0,1129131601","0,5","1,1428571429","0,7","-0,7670165806","-0,7217358084","1,0118162453","0,4659848323","-0,6213665287","0,3682779251","0,4074944622","1,0992717417","2,2130955474","-1,3501687627","-1,8754634717","2,1057425422","-0,8174596948","2194,0714285714","1,600839165","0,2778928064","0,8173724116","-1,9907033341","0,8061612659","1,8611879924","1,6394238816","-0,8348687113","3,4769808266","-0,7799233784","1,5695172951",FAUX,,,,"2194,0714285714",strong
0007ACA781,3,7,2,10,85,FAUX,"31,38","30,83","-0,55",8,"-13,4",8,"-12,6666666667","0,2985363258","0,3097592733","-0,5735783586","0,45",1,"0,75","0,8076721697","0,6540820483","-1,5920314052","-0,9235997607","4,6079566357","-1,2552472882","-1,0137654459","2,5424925779","-0,1457479626","-3,2510921751","-1,6383246133","1,0706568568","2,2617153455","3316,6595238095","1,6564738536","0,1789795671","-4,681333146","1,5713115968","3,6558890539","1,5381715029","1,6736963845","1,9110818353","1,1681228569","-1,653367669","0,7559386936",FAUX,,,,"3316,6595238095",strong
0007ABF555,1,7,2,1,68,VRAI,"31,61","30,06","-1,55",9,"-17,75",2,"16,5952380952","2,052225563","-1,0653029946","-1,0078805185","0,65","1,3076923077","0,75","2,664158697","1,5258417017","0,6734750075","-1,2191729257","3,0162816135","-0,0620530539","-2,6942646263","2,7986012529","-2,8250475626","1,7143202904","-0,3615876168","-0,6975046967","1,4875558308","1795,6047619048","1,6823971196","0,205390411","2,0019706847","3,2698107656","-1,2487550332","1,581771255","0,0470184159","0,4419434124","2,2665852282","1,9748660885","-2,086760894",FAUX,,,,"1795,6047619048",strong
0007CD7FB2,24,7,2,2,70,VRAI,"33,79","33,27","-0,52",6,"-8,0176767677",10,"-19,0352836523","-1,1764469425","-0,1079750261","-1,3531074576","0,5",1,"0,9090909091","3,4015385343","0,0454164569","1,7253476439","-1,6465276881","8,6972355475","-4,0968821143","1,6616388507","-2,4739876328","0,8315039209","0,2490681469","1,7368227051","0,5009204713","-0,0830449173","3228,4166666667","1,9773872601","0,1850125559","-1,2423876356","0,160282903","-3,8145686825","-3,3757952352","1,7941269423","0,7107218363","1,9898377414","1,0925914275","4,0065984348",FAUX,,,,"3228,4166666667",strong
0007CD81D3,25,7,2,5,66,FAUX,"34,29","33,05","-1,24",1,"39,1904761905",1,"19,134088418","1,6964923486","0,7671234583","0,1042529169","0,3",1,2,"-0,7678120514","-0,3205560007","0,3219710724","0,1152399804","-3,9106234888","-1,7007372762","-1,8152509637","1,2581278918","0,9942632793","0,8170240882","-2,5870144142","1,7705820125","1,5129647894","2557,980952381","1,4749352815","0,2313869197","3,727544629","1,2141010513","-1,891237697","-2,7204240973","1,9089460121","1,6038137997","0,6460453724","0,8697930574","-2,3259443876",VRAI,,,,"2557,980952381",strong
0007CDEAA7,35,7,3,7,66,FAUX,"34,37","32,84","-1,53",10,"-30,4047619048",7,"-7,6007598428","-1,1870928642","-0,1875193641","-0,2834743963","0,3","1,4285714286","1,1666666667","-0,8158582238","1,643730234","1,2099297115","0,0402315737","1,1273682722","2,7846366115","-0,6905759573","1,2079949529","1,2921650968","-0,7816701391","0,2570763719","0,2196405967","0,6328401168","1514,2714285714","1,2954395744","0,2128935179","-6,3240217881","1,5717880642","0,8527314736","0,1036330459","2,0923548037","0,7649737239","1,0700873844","0,9745806066","0,1783498986",FAUX,,,,"1514,2714285714",strong
0007CD72E3,21,7,2,3,85,FAUX,"34,39","32,72","-1,67",5,"-0,4065656566",4,"5,2179487179","2,3088156126","-0,0742338499","-0,2966380265","0,35",1,"2,5","-0,4768144045","0,0098438722","2,4126274962","0,3775299544","2,6811864779","2,5332111371","-0,8126947169","-1,0696077601","-1,2018864946","-1,3108366777","1,9080987005","0,4909692507","-0,2696830008","3109,9285714286","1,3385201327","0,2919459182","1,0430094542","5,4486650197","-1,4506686316","-1,718760457","4,6499008507","-1,7333549042","-0,7459586581","2,3170503029","-1,2703905026",VRAI,,,,"3109,9285714286",strong
0007CD38E5,18,7,2,4,66,FAUX,"34,85","34,78","-0,07",2,"31,3333333333",6,"-2,2424015725","1,1065890795","0,2695318147","-0,5194155387","0,25","0,5555555556","1,6","0,2996045164","0,010010863","1,3685139789","0,3660226842","1,484115297","-2,6274590542","-1,409901796","0,3038025875","-2,1220255852","-1,3734654083","0,5622713371","0,6478666226","0,0045027567","2836,9380952381","1,3025544498","0,2348373582","5,3425845738","0,7746399797","1,1444154939","2,608380011","-0,2327333464","0,3401397299","2,5550623486","-0,5205259394","-1,1819566351",VRAI,,,,"2836,9380952381",strong
0007CB2224,6,7,3,9,68,FAUX,"35,72","35,44","-0,28",7,"-9,25",9,"-17,4345238095","-2,9669905374","-0,0793642799","0,071504737","0,5","1,2222222222",1,"-0,3513774285","-0,239100378","0,924747702","0,3711834285","3,8901201338","0,6862256564","-0,4498752872","0,2782077079","1,553116651","-0,8132314735","0,5541102877","1,5078267426","0,5154533466","1078,5071428571","2,1805813737","0,2439416919","-4,2007534816","-2,5867390921","3,5428759603","2,7247204591","1,8099090435","-0,8312000708","2,3372155916","-2,8834221379","-0,5746869933",FAUX,,,,"1078,5071428571",strong
0007CA3A3A,4,8,1,6,68,FAUX,"25,47","23,07","-2,4",10,-37,10,-35,"-4,2405359162","4,8017897825","-0,1142969918","0,5",1,"1,5714285714","-0,0784180646","1,1491110404","0,8572324619","0,5371696464","-0,5826978871","3,3164149994","-0,1733737785","-2,2980608481","-0,2849560993","0,8681743628","3,6739405727","-0,2526110161","-0,522764501","3469,1222222222","1,246424265","0,2014470519","-2,7436127292","-1,4848379675","-0,138200871","-0,9838819929","-1,2104286727","4,804449861","-2,8005900538","0,8272744185","2,292638682",FAUX,,,,"3469,1222222222",strong
0007CB30A6,8,8,1,8,72,VRAI,"30,41","30,11","-0,3",5,"-1,2819444444",9,"-22,5333333333","-5,2419844685","2,5535876045","0,000936765","0,4",1,1,"-0,3530062423","0,2807017344","-0,5103184936","0,5463324252","2,4583899581","2,8130030901","-0,4459995764","0,384549424","-0,4473815021","-1,458812423","1,3060629775","2,2834120849","0,5041079723","2795,94","1,0823892766","0,1518797494","4,0481694581","-3,1033092432","1,9063238469","-0,3606185869","-0,9422421941","3,6836110379","-1,5019970268","-0,3537950932","-0,7769915146",FAUX,,,,"2795,94",weak
0007CDEC0B,36,8,3,2,87,FAUX,"31,56","30,48","-1,08",4,"3,6111111111",2,"19,0357980255","1,9894389128","-0,3892906241","-0,7966668248","0,4",1,"1,1428571429","2,2087547898","-0,8247815485","0,118096366","-1,1150015328","-1,9817394078","-0,8808591892","-1,4179678342","1,6198153133","-2,8207128515","0,3190329382","-0,2782555583","-0,1356733838","1,8881513234","5640,9488888889","1,1860933256","0,2041295653","5,0597945508","-3,1129752122","4,735914494","0,1495121731","1,6439217953","0,1335029837","-1,6948827436","-0,6058047935","0,7249486168",FAUX,,,,"5640,9488888889",strong
0007CB486D,15,8,1,5,71,VRAI,"31,92","30,56","-1,36",8,"-12,830952381",4,"14,7509157509","1,6915765532","0,3015560775","-0,3445916598","0,35","0,4285714286","1,1666666667","0,4919238787","0,4798384175","-1,793363842","-0,8109606278","2,9533551734","-1,0965840496","-3,31191715","0,2704909742","0,2898424467","2,5635570089","0,0525962766","1,2319631974","0,8065460399","9815,5644444445","1,0390123337","0,1269154386","5,3043641021","-1,4380178982","3,0378462648","-0,970562983","1,4810899488","0,8865563626","-1,8990071512","-0,0071245357","0,088543921",FAUX,,,,"9815,5644444445",strong
0007CDDBAF,32,8,4,9,70,FAUX,"32,51","31,55","-0,96",2,"22,875",5,"9,5748663102","1,7837019271","0,7920211016","0,9850190733","0,65","1,1","0,7692307692","-2,0598950275","0,0170103303","-0,8091659437","2,8771278372","-7,641708602","0,7459848152","0,6004728795","-0,2681623193","0,4185152148","0,9609732031","-0,9668560716","-1,0728772134","2,6503995547","10464,9244444444","1,7130727203","0,1356463581","2,5746797721","-0,0350546623","2,4958588166","-0,6139203436","1,573568177","-0,7206775106","-3,4103510708","0,9904590046","0,826055634",VRAI,,,,"10464,9244444444",strong
0007CD5116,19,8,2,3,69,FAUX,"32,67","32,69","0,02",9,"-19,5279761905",8,"-19,3333333333","-1,6941680788","0,7940849162","0,6027876053","0,35","2,3333333333","0,4285714286","-2,1058809303","-0,6605284268","1,1123092742","3,3432068462","-7,4070690003","0,759620955","0,3106898892","-1,3509111314","-0,5196295372","1,7932086062","-0,7781082611","0,1978166271","1,1928824501","743,4844444444","3,2267829327","0,127863394","-0,9494091963","-7,1819854724","-3,0492042677","4,1068949025","-1,0471293776","0,7674974901","-2,024214273","1,9648616844","0,3080056829",FAUX,,,,"743,4844444444",strong
0007CD86B3,26,8,2,7,87,FAUX,"32,68","32,53","-0,15",1,"30,2380952381",6,"3,0413961039","0,953388419","0,1884639621","-0,0752976927","0,35","1,1666666667","1,1666666667","-0,24032409","-0,0624486284","0,2204906678","0,3411713659","-2,9037388133","-2,506854638","-1,2926956933","0,275537487","-1,4867346178","0,965878009","-1,3064162172","0,1058522497","-0,1849197238","6908,9555555556","1,0237832571","0,1948681743","6,2859504557","-1,9136556296","3,5491715287","0,0997574224","1,4910468641","-0,6093708662","-2,1355020041","-0,1297581755","0,1475676619",VRAI,,,,"6908,9555555556",strong
0007CDC91B,31,8,2,10,87,FAUX,"32,73","32,2","-0,53",7,"-3,75",1,"22,1619047619","1,4636225237","0,9838432057","-0,0678821007","0,3","0,4285714286","1,75","-0,4287307971","0,2089389709","1,4428554515","0,5921531955","-0,260025617","-1,0567295037","-1,1605889103","0,649030415","1,8062665635","-0,9272002313","0,506578552","-2,0109866338","2,4693359069","6514,5688888889","1,2715983768","0,1510371966","3,5303096682","-0,1740937366","0,1913326891","1,6376436959","0,4689135274","2,2810517392","-4,6324035222","3,0733619699","-1,2059324789",FAUX,,,,"6514,5688888889",strong
0007CDE223,33,8,3,4,87,FAUX,"33,11","32,68","-0,43",3,"21,1666666667",3,"15,168452381","2,6561285472","0,9871647133","-0,6960531891","0,3",1,3,"0,9130199029","0,0192623869","-0,8155235271","-0,9901642399","1,1309051686","0,6141327285","-0,897639149","0,6143513414","-1,6416565361","0,0699919827","0,6340862487","-1,3667599609","0,6335208695","6749,2688888889","1,0893889136","0,1797251455","-4,1947679011","4,6838886092","1,6628290297","-1,4636101139","1,1558590481","1,9562460729","-1,7471024447","2,0794363898","3,2461244176",FAUX,,,,"6749,2688888889",strong
0007CB0942,5,8,4,1,68,FAUX,"34,24","34,2","-0,04",6,"-3,5",7,"-6,8666666667","-0,2231530644","-0,60987649","0,3200801549","0,15","0,8333333333",2,"-1,2307286919","0,234088372","0,1729765719","0,4415167098","-4,7349782153","2,2932043215","0,6850923476","-0,007449781","0,479258559","0,7875636326","-0,5170486479","1,5241238978","-0,1244816772","3767,9377777778","1,70801462","0,1298659096","-0,860818155","-3,6983206319","-1,0879049408","-0,4973430554","-0,1621604481","3,3309356556","-3,780702493","1,8819596863","1,2729098049",FAUX,,,,"3767,9377777778",strong
0007CB40DE,11,9,1,1,71,FAUX,"25,89","24,27","-1,62",10,"-24,2",8,"-11,2134541704","0,9640312216","1,4574479958","0,056527819","0,1","1,3333333333","0,8571428571","-1,2287662597","0,1603842713","2,6156790667","0,5925726919","1,2149824998","5,6538590813","-1,0342338472","-4,1454715064","-1,7229798996","-0,2757838001","5,0304084548","2,935337652","0,311370718","7582,6205128205","1,1960055434","0,0161939144","1,1689230152","9,7127513217","-1,5009045527","5,4595203677","-1,1852090734","1,3165049649","-2,1873775321","-3,2952024454","-0,6919688009",FAUX,,,,"7582,6205128205",strong
0007CB2302,7,9,1,10,71,VRAI,"28,67","29,09","0,42",9,"-20,2772727273",10,"-25,743884468","-5,2314844242","2,4499233821","-0,1036714922","0,95","0,5",,"-1,1443793773","2,4377921028","-0,8937116619","0,4522587694","2,9018184525","3,4245578113","-0,6810336868","-5,7261348024","0,7100292139","-1,5964414709","3,6688215374","2,8849869924","-0,3736372428",,,,,,,,,,,,,FAUX,,,,,strong
0007CE0327,38,9,4,6,90,FAUX,"29,14","28,76","-0,38",1,"17,469047619",4,"1,8727824463","1,3542046365","-0,3232005835","-0,5130638305","0,3",1,"1,2","0,4913852923","0,0791201434","0,0626043504","-1,1595755985","-1,0748881227","-1,5898786918","0,5984121572","0,208650571","0,4225080827","-2,9087738996","-0,6804194155","0,6071351897","0,4012030349",,,,,,,,,,,,,FAUX,,,,,strong
0007CB486D,15,9,2,3,74,VRAI,"30,16","30,41","0,25",8,"-14,3571428571",2,"16,3534798535","1,6997706406","1,5074282194","-0,6463341408","0,4","0,8333333333",1,"0,922165206","0,2903567859","0,022417301","0,2912861621","11,637483897","0,8560765925","0,8480420902","-1,2774976057","2,8546592079","4,7562108423","2,7572862333","-2,3011693168","2,2648970141","3717,9487179487","1,2574432449","0,0261993103","4,4550779604","2,2902351832","-2,4150489266","3,9628574036","-0,0037675311","0,2416642928","-4,3448512275","-4,7633407421","1,4460932885",FAUX,,,,"3717,9487179487",strong
0007CDEC0B,36,9,4,2,90,FAUX,"31,29","30,51","-0,78",4,"9,1909090909",1,"17,8602750191","1,7876432943","-0,4341727875","-1,7943932846","0,4","0,8888888889","0,8888888889","4,1059598351","-1,04829347","1,8872310542","-1,5812033341","3,3816173268","-0,3784627559","0,2306865063","1,4569362196","0,9859382289","-0,8511363122","-0,4976805207","-2,1042139071","-0,1818668553","2574,3435897436","1,4107204214","0,0309991892","0,9098671853","1,5890559202","-3,8393760957","6,1112990852","1,0415468583","-0,6658436056","-2,4083091924","-2,8594470021","3,2534535185",FAUX,,,,"2574,3435897436",strong
0007CDEEE2,37,9,4,8,90,FAUX,"31,51","30,24","-1,27",3,"11,7",6,"0,7196969697","2,1022339076","1,1287996329","-0,4545833381","0,4","0,875",1,"0,041122458","-0,0518979022","1,705589336","0,1775520107","-1,6077383572","-1,5574822208","-1,7151024107","1,3976687166","0,5836013499","1,7565479206","-4,0446889376","2,9652312278","-0,977696663","1832,3538461539","1,7657275983","0,0283116294","-0,5545733801","3,089714984","-6,4801196701","2,1504582326","-1,3917499629","-4,5614559109","-2,6430724699","-6,0281453415","0,7609352553",FAUX,,,,"1832,3538461539",strong
