Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,RC,RC values,Mutants,Others,All,histology
0007CB6AB4,16,2,1,2,56,FAUX,"27,19","26,74","-0,45",8,"-15,4333333333",10,"-27,5909090909","-1,9323327975","1,9734613793","-0,1510366308","0,55",1,"1,1","0,8581019614","-0,2607142791","2,2699791593","-0,4210922733","0,6385653935","-3,4223178979","-1,9981781235","0,0931543244","1,6201444669","-0,7458102775","0,5714765909","-1,8064568667","-1,0491245712","16292,34","1,1258317602","0,0713620975","3,4069189162","4,2478880149","-0,6761462415","0,3245341261","-1,0493273012","0,9010881679","3,5529409667","1,7499009642","2,0552231043",VRAI,"7560,2595238095","2795,94","3973,1355555556","16292,34",strong
0007CDE4F0,34,2,1,3,58,VRAI,"30,71","29,96","-0,75",6,"-4,9",6,"-0,2305841692","1,7902283346","0,3172244027","0,6656051088","0,35",1,1,"-1,9613053373","-0,0834490112","-1,4922742082","0,463172205","-1,8346249106","5,9566982015","-0,1384542858","1,3707505474","1,1930437663","2,3858704666","1,3517009269","-4,0191567465","0,4462957158","1965,1444444445","2,3391621939","0,0679441149","-4,7747422801","-3,2727934106","1,2884335805","0,9319726596","-0,6437539398","-1,6449344195","2,6241227754","-1,0331989958","0,9667014756",FAUX,"5040,5138888889","9815,5644444445","1040,8933333333","1965,1444444445",weak
0007CDEC0B,36,2,1,1,75,FAUX,"32,32","31,82","-0,5",2,"26,5",1,"16,8887353269","2,5519499806","0,0131470406","-1,1907804886","0,4",1,"1,2857142857","3,0181920906","-0,8083897255","1,6678163959","-1,4045934606","1,0438739245","-2,3767374445","-0,2091041729","-3,3808603391","-1,9045826829","-2,800739755","2,2598026305","-0,5003952886","-1,1609485982","6761,7222222222","1,095943971","0,1228441143","4,0472258802","4,1108558919","-0,9306124465","-0,2903631667","-1,8875246154","-0,3288226875","2,2673585755","3,3560394781","-0,4478864421",VRAI,"1654,2888888889","2337,9222222222","3009,1","6761,7222222222",strong
0007CDEEE2,37,2,1,8,75,FAUX,"32,92","33,72","0,8",3,15,5,"2,6078722003","1,6448138881","-0,2399338384","-0,1378273956","0,4","0,875",1,"-0,0020071196","0,1571244662","-0,9500335219","0,2948499581","-2,2430149977","-4,7000594762","-2,1162989696","0,7409827545","0,1472008356","0,3320906212","-2,9260329875","3,4832556529","0,5880637503","5220,4022222222","1,1746185561","0,1060484484","4,3846100504","2,341079223","0,7778438922","1,2405914202","-2,2102429648","-1,4262165853","2,2611499009","1,0282781747","-0,9754904144",VRAI,"2557,980952381","2131,1777777778","9189,1282051282","5220,4022222222",strong
0007CDE223,33,2,1,6,75,FAUX,"33,16","31,48","-1,68",7,"-5,1587301587",2,"15,573603547","3,0587921419","0,6047973662","-0,7443454096","0,35","1,1428571429","1,1666666667","1,318095367","-0,2371768387","0,1066247814","-1,2291121373","-0,1858826446","-1,0262313519","-1,2766536419","1,0727961103","0,6651532921","-0,9852930832","0,5983245327","-0,064048315","1,2612934236","5632,1911111111","1,5664704928","0,0605795416","-6,7660508673","4,2427272695","4,5381462241","1,6012465165","0,2117583625","-3,0134897011","1,5454628649","0,2158350584","-2,5318163407",FAUX,"3109,9285714286","9067,12","2623,5846153846","5632,1911111111",strong
0007CB3491,9,2,1,10,56,FAUX,"33,91","32,58","-1,33",10,"-30,75",3,"15,2255244755","0,5328252415","0,3180366059","0,4586128775","0,4",1,"1,3333333333","-1,2204079163","0,1254279742","-1,0764649348","0,440797032","-3,4369696301","1,9934380007","-0,2949114573","-2,6182597826","-1,0063597572","1,0494662111","2,9276503145","-0,4375036564","0,095233141","5103,4822222222","1,2476082995","0,0788215628","4,5359188934","0,792241053","-1,0373838816","0,3891844045","-1,1224983185","2,2908963247","2,9937650074","0,555585107","-0,6925429462",FAUX,"2836,9380952381",,"8245,3025641026","5103,4822222222",strong
0007CB2224,6,2,1,9,58,FAUX,"35,99","35,41","-0,58",5,"-0,8571428571",9,"-23,5909090909","-2,2095556586","1,3739496977","0,6217167852","0,4","0,5","2,6666666667","-2,7983345045","-3,8589298722","-0,5124825778","0,3613054361","-4,6508100285","4,6243617709","1,6460043418","1,0868568724","0,8932260471","0,5503713665","-2,8711307139","1,2711652694","1,1355531076","1378,7755555556","2,3270962961","0,0688259631","-2,2629206937","-1,0583503293","-3,0625352727","-1,3121677766","-1,8467919489","1,2087478111","1,5933354433","0,7024704165","-2,1806177213",FAUX,"10464,9244444444",,"743,9025641026","1378,7755555556",strong
0007CDEAA7,35,2,1,7,57,FAUX,"36,04","35,07","-0,97",9,"-25,5",4,"10,4642857143","0,6927524797","-1,0876966591","-0,1172337878","0,35","0,8571428571","2,3333333333","-0,463145194","-0,6073943061","0,4135829074","0,3744117993","-4,3949004256","-1,1248598079","-0,0174610705","-1,3537848864","-1,2939549107","-1,3619508064","1,328565324","1,5276668445","1,5527909697","3973,1355555556","1,3300235009","0,0669451667","4,805586476","-1,0697239125","1,2573675058","1,5554834442","-0,3535245157","-1,6454132667","2,8499440485","-0,5441144696","-0,4296490646",FAUX,"6908,9555555556",,"5069,5333333333","3973,1355555556",strong
0007CD5116,19,2,1,4,57,FAUX,"36,69","34,7","-1,99",4,"12,7111111111",7,"-2,8333333333","-0,2026993751","-0,8064576116","0,2878762585","0,45","1,1111111111",1,"-1,2126086286","0,0141810643","0,4855553465","0,3004949909","-4,7187206279","-1,6247343387","-0,0267128732","-2,0989246437","-0,7739108624","-0,4102770133","1,7877315559","-0,9438508936","-0,1824049681","1040,8933333333","2,7473356183","0,0751683383","-12,2852519159","-2,1727765845","-0,6243396591","-1,9821486116","0,0611040327","-1,4967867158","0,1573103708","-0,1316488234","1,129225406",FAUX,"5345,7111111111",,"3444,7666666667","1040,8933333333",strong
0007CB4837,14,2,1,5,56,VRAI,"40,03","37,21","-2,82",1,"28,3880952381",8,"-6,5142855797","-6,3466827566","0,3155484499","0,1193828131","0,45","3,3333333333","0,3333333333","-0,76646697","0,0908790865","0,8476432376","0,1603369458","-2,5086680459","0,6365043616","1,6795703106","1,7355098988","-0,6156048187","-2,4910837548","-1,6232172249","-0,0847748142","1,7251925387","3782,1733333333","1,3585664345","0,1293818134","-4,2960531707","2,6649032631","-0,0981412698","-5,6433451721","-0,5533120277","1,2207380313","0,8698619562","-0,9029758863","-0,1658406696",FAUX,"7097,1044444444",,"1788,9128205128","3782,1733333333",strong
