ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,244.4,109.066666666667,1011.46666666667,46.2,395.3,647.933333333333,982.533333333333,812.3,335.033333333333
0007CB0942,244.4,0,116.166666666667,498.166666666666,17.1,369.933333333334,585.266666666667,651.933333333333,683.833333333333,1435.16666666667
0007CB30A6,109.066666666667,116.166666666667,0,722.9,9.3,635.733333333334,737.000000000001,526.9,213.9,223.733333333333
0007CB486D,1011.46666666667,498.166666666666,722.9,0,112.6,1702.53333333333,1376.1,2970.36666666667,1012.83333333333,1777.86666666667
0007CD5116,46.2,17.1,9.3,112.6,0,41.6666666666667,10.1666666666667,148.233333333333,54.4666666666667,146.966666666667
0007CD86B3,395.3,369.933333333334,635.733333333334,1702.53333333333,41.6666666666667,0,1350.9,2656.23333333333,1293.4,1810.96666666667
0007CDC91B,647.933333333333,585.266666666667,737.000000000001,1376.1,10.1666666666667,1350.9,0,1983.06666666667,744.166666666666,677.066666666666
0007CDDBAF,982.533333333333,651.933333333333,526.9,2970.36666666667,148.233333333333,2656.23333333333,1983.06666666667,0,3220.5,2011.6
0007CDE223,812.3,683.833333333333,213.9,1012.83333333333,54.4666666666667,1293.4,744.166666666666,3220.5,0,963.500000000001
0007CDEC0B,335.033333333333,1435.16666666667,223.733333333333,1777.86666666667,146.966666666667,1810.96666666667,677.066666666666,2011.6,963.500000000001,0
