Row,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,2,0,0,8,3,0,0,0,0
0007CB0F67,0,0,0,0,2,0,0,0,0,0
0007CB48B4,2,4,0,0,8,2,0,6,0,0
0007CB6DFA,0,0,0,0,0,0,0,0,0,0
0007F29741,2,0,0,0,0,0,0,5,0,0
0007F2B88A,0,0,0,0,0,0,0,0,0,0
0007F2C687,0,2,0,0,2,0,0,0,0,0
0007F2EEFA,2,0,2,2,8,0,0,0,0,0
0007F2F26A,2,0,0,0,12,0,2,4,0,0
0007F2F283,0,9,2,2,14,6,0,0,0,0
