Row,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,0,0,0,0,0,0,0,0,0
0007CB0942,0,0,0,1,0,0,0,0,0,0
0007CB30A6,0,0,0,0,0,0,0,0,0,0
0007CB486D,7,0,0,0,0,0,0,0,0,0
0007CD5116,1,0,0,0,0,0,0,0,0,0
0007CD86B3,0,0,0,0,0,0,0,0,0,0
0007CDC91B,10,0,0,2,0,0,0,0,0,0
0007CDDBAF,5,0,0,0,0,0,0,0,0,0
0007CDE223,4,0,0,0,0,0,0,0,0,1
0007CDEC0B,5,0,1,3,0,0,0,0,0,0
