Row,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05,0007F2E42C
0007CB0AD4,0,0,2,1,0,0,1,0,0
0007CB2ED2,4,0,2,0,0,1,2,0,19
0007CB321B,0,0,0,0,0,0,0,0,0
0007CB39C9,0,0,0,0,0,0,2,0,0
0007F2B770,0,5,0,0,0,0,0,2,0
0007F2B957,2,1,0,5,0,0,0,3,0
0007F2BA9B,1,16,1,3,0,0,0,1,0
0007F2CA05,2,4,0,1,0,0,0,0,0
0007F2E42C,1,3,2,7,0,3,4,8,0
