Row,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,1,0,0,4,2,0,0,0,0
0007CB0F67,0,0,0,0,1,0,0,0,0,0
0007CB48B4,1,2,0,0,4,1,0,4,0,0
0007CB6DFA,0,0,0,0,0,0,0,0,0,0
0007F29741,1,0,0,0,0,0,0,3,0,0
0007F2B88A,0,0,0,0,0,0,0,0,0,0
0007F2C687,0,1,0,0,1,0,0,0,0,0
0007F2EEFA,1,0,1,1,4,0,0,0,0,0
0007F2F26A,1,0,0,0,6,0,1,2,0,0
0007F2F283,0,5,1,1,7,3,0,0,0,0
