Row,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05,0007F2E42C
0007CB0AD4,0,0,3,2,0,0,2,0,0
0007CB2ED2,8,0,4,0,0,2,4,0,37
0007CB321B,0,0,0,0,0,0,0,0,0
0007CB39C9,0,0,0,0,0,0,4,0,0
0007F2B770,0,8,0,0,0,0,0,4,0
0007F2B957,4,2,0,8,0,0,0,6,0
0007F2BA9B,2,29,2,6,0,0,0,2,0
0007F2CA05,3,8,0,2,0,0,0,0,0
0007F2E42C,2,6,4,11,0,6,6,14,0
