Row,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,1,0,2,2,1,2,1,3,2
0007CB0B74,2,0,1,10,6,4,8,14,13,9
0007CB0DBC,30,30,0,43,69,9,55,31,91,19
0007CB2407,6,9,0,0,12,2,11,7,27,12
0007F2B3FF,1,3,0,2,0,1,2,2,6,2
0007F2B59E,30,44,14,49,72,0,88,52,150,50
0007F2B8A2,6,17,0,9,15,4,0,9,28,8
0007F2B9FC,0,0,1,2,5,1,3,0,9,3
0007F2E37E,32,87,20,82,141,46,125,104,0,63
0007F2E3D4,5,5,0,7,15,0,6,10,23,0
