Row,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,0,0,0,0,0,0,0,0,0
0007CB0B74,0,0,0,0,0,0,0,0,0,4
0007CB0DBC,2,2,0,0,11,0,4,2,2,0
0007CB2407,0,0,0,0,0,0,2,0,2,6
0007F2B3FF,0,0,0,0,0,0,0,0,0,0
0007F2B59E,0,5,0,2,5,0,24,0,14,7
0007F2B8A2,0,0,0,0,2,0,0,2,2,0
0007F2B9FC,0,0,0,0,0,0,0,0,0,0
0007F2E37E,2,6,0,7,14,0,24,9,0,2
0007F2E3D4,0,0,0,0,0,0,0,0,4,0
