ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,19.2,0,10.4666666666667,0,112.833333333333,0,15.6333333333333,14.4666666666667,9.76666666666667
0007CB3491,19.2,0,8.5,126.5,1.1,53.7,3.26666666666667,13.2,45.6666666666667,124.966666666667
0007CB4837,0,8.5,0,32.3,0,25.5333333333333,4.33333333333333,6.33333333333333,60.8333333333333,44.4
0007CB6AB4,10.4666666666667,126.5,32.3,0,7.4,28.9,118.066666666667,76.8,414.566666666667,78.6333333333333
0007CD5116,0,1.1,0,7.4,0,23,24.5666666666667,41.1333333333333,25.5333333333333,15.2
0007CDE223,112.833333333333,53.7,25.5333333333333,28.9,23,0,0,108.4,108.6,173.033333333333
0007CDE4F0,0,3.26666666666667,4.33333333333333,118.066666666667,24.5666666666667,0,0,0,18.2666666666667,63.9333333333333
0007CDEAA7,15.6333333333333,13.2,6.33333333333333,76.8,41.1333333333333,108.4,0,0,57.5,59.5666666666667
0007CDEC0B,14.4666666666667,45.6666666666667,60.8333333333333,414.566666666667,25.5333333333333,108.6,18.2666666666667,57.5,0,195.866666666667
0007CDEEE2,9.76666666666667,124.966666666667,44.4,78.6333333333333,15.2,173.033333333333,63.9333333333333,59.5666666666667,195.866666666667,0
