ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,83,180,79,14,37,154,217,154,90
0007CB0F67,83,0,65,19,35,28,165,41,77,36
0007CB48B4,180,65,0,104,49,52,65,80,64,44
0007CB6DFA,79,19,104,0,45,29,48,9,91,26
0007F29741,14,35,49,45,0,9,39,19,34,7
0007F2B88A,37,28,52,29,9,0,52,15,71,38
0007F2C687,154,165,65,48,39,52,0,32,170,33
0007F2EEFA,217,41,80,9,19,15,32,0,46,58
0007F2F26A,154,77,64,91,34,71,170,46,0,134
0007F2F283,90,36,44,26,7,38,33,58,134,0
