ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,72,20,30,42,19,0,20,105,21
0007ABF555,72,0,61,170,103,30,7,103,58,76
0007AC2B02,20,61,0,153,283,49,14,47,100,57
0007ACA781,30,170,153,0,184,84,4,232,107,281
0007CB7051,42,103,283,184,0,79,101,57,133,139
0007CD6778,19,30,49,84,79,0,5,52,66,135
0007CD765E,0,7,14,4,101,5,0,7,2,13
0007CDADED,20,103,47,232,57,52,7,0,200,58
0007CDC443,105,58,100,107,133,66,2,200,0,81
0007CDEAA7,21,76,57,281,139,135,13,58,81,0
