ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,4.72315521628499,3.05405921680993,2.02100456621005,2.34671361502347,3.92324561403509,3.48064516129032,2.45032679738562,4.25020576131687,2.80824175824176
0007CB0942,4.72315521628499,0,2.10789473684211,2.21063492063492,2.54429223744292,3.96293706293706,3.06374501992032,3.78856799037304,3.26620795107034,2.52789115646258
0007CB2302,3.05405921680993,2.10789473684211,0,1.83659673659674,2.00591900311527,1.83833333333333,4.07089552238806,2.15632183908046,2.2421052631579,2.19303482587065
0007CB30A6,2.02100456621005,2.21063492063492,1.83659673659674,0,1.89009009009009,2.25737704918033,2.132,2.06156462585034,2.36910569105691,1.69371980676328
0007CB3713,2.34671361502347,2.54429223744292,2.00591900311527,1.89009009009009,0,2.24010416666667,3.18326996197719,2.66818181818182,3.42838095238095,2.87533875338753
0007CB47A6,3.92324561403509,3.96293706293706,1.83833333333333,2.25737704918033,2.24010416666667,0,3.19269293924466,3.4059331175836,3.11196581196581,3.53646586345382
0007CDDBAF,3.48064516129032,3.06374501992032,4.07089552238806,2.132,3.18326996197719,3.19269293924466,0,3.93649318463445,3.73696581196581,2.8852688172043
0007CDE223,2.45032679738562,3.78856799037304,2.15632183908046,2.06156462585034,2.66818181818182,3.4059331175836,3.93649318463445,0,2.60461988304093,2.58728323699422
0007CDEC0B,4.25020576131687,3.26620795107034,2.2421052631579,2.36910569105691,3.42838095238095,3.11196581196581,3.73696581196581,2.60461988304093,0,3.44312796208531
0007CE0327,2.80824175824176,2.52789115646258,2.19303482587065,1.69371980676328,2.87533875338753,3.53646586345382,2.8852688172043,2.58728323699422,3.44312796208531,0
