ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,618.733333333333,1065.86666666667,147.533333333333,333.233333333333,298.166666666666,971.100000000001,499.866666666667,688.533333333333,511.1
0007CB0942,618.733333333333,0,80.1,464.233333333333,185.733333333333,566.7,1538,1049.43333333333,712.033333333333,247.733333333333
0007CB2302,1065.86666666667,80.1,0,262.633333333333,214.633333333333,36.7666666666666,545.5,187.6,85.2,146.933333333333
0007CB30A6,147.533333333333,464.233333333333,262.633333333333,0,69.9333333333333,137.7,266.5,202.033333333333,194.266666666667,116.866666666667
0007CB3713,333.233333333333,185.733333333333,214.633333333333,69.9333333333333,0,860.2,837.2,293.5,599.966666666666,707.333333333333
0007CB47A6,298.166666666666,566.7,36.7666666666666,137.7,860.2,0,1296.23333333333,1052.43333333333,1213.66666666667,1467.63333333333
0007CDDBAF,971.100000000001,1538,545.5,266.5,837.2,1296.23333333333,0,4235.66666666667,1748.9,894.433333333333
0007CDE223,499.866666666667,1049.43333333333,187.6,202.033333333333,293.5,1052.43333333333,4235.66666666667,0,1484.63333333333,895.200000000001
0007CDEC0B,688.533333333333,712.033333333333,85.2,194.266666666667,599.966666666666,1213.66666666667,1748.9,1484.63333333333,0,726.5
0007CE0327,511.1,247.733333333333,146.933333333333,116.866666666667,707.333333333333,1467.63333333333,894.433333333333,895.200000000001,726.5,0
