ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,0.647058823529412,0.580645161290323,0.833333333333333,0.68,0.526315789473684,0.48780487804878,0.568965517241379,0.48,0.303030303030303
0007CB0942,0.352941176470588,0,0.666666666666667,0.166666666666667,0.4,0.571428571428571,0.471830985915493,0.533333333333333,0.511111111111111,0.764705882352941
0007CB2302,0.419354838709677,0.333333333333333,0,0.555555555555556,0.461538461538462,0.75,0.75,0.555555555555556,0.666666666666667,0.428571428571429
0007CB30A6,0.166666666666667,0.833333333333333,0.444444444444444,0,0.285714285714286,0.125,0.3125,0.307692307692308,0.333333333333333,0.666666666666667
0007CB3713,0.32,0.6,0.538461538461538,0.714285714285714,0,0.508474576271186,0.4375,0.535714285714286,0.388888888888889,0.566037735849057
0007CB47A6,0.473684210526316,0.428571428571429,0.25,0.875,0.491525423728814,0,0.413461538461538,0.763157894736842,0.469135802469136,0.443298969072165
0007CDDBAF,0.51219512195122,0.528169014084507,0.25,0.6875,0.5625,0.586538461538462,0,0.538028169014084,0.508928571428571,0.50561797752809
0007CDE223,0.431034482758621,0.466666666666667,0.444444444444444,0.692307692307692,0.464285714285714,0.236842105263158,0.461971830985915,0,0.388059701492537,0.545454545454545
0007CDEC0B,0.52,0.488888888888889,0.333333333333333,0.666666666666667,0.611111111111111,0.530864197530864,0.491071428571429,0.611940298507463,0,0.564102564102564
0007CE0327,0.696969696969697,0.235294117647059,0.571428571428571,0.333333333333333,0.433962264150943,0.556701030927835,0.49438202247191,0.454545454545455,0.435897435897436,0
