ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,64.5509802131147,17.8076022941177,43.346597195,51.0681483770834,56.4917122435897,59.3517223951515,58.8367540087719,59.775588399495,52.5657656885715
0007CB0942,64.5509802131147,0,53.644176975,36.3609336737705,57.4635172571428,63.9317721268293,40.5431367984615,57.9355259828947,59.0742281056075,45.488153990625
0007CB2302,17.8076022941177,53.644176975,0,10.052567565625,24.0134887766667,59.6394671833333,49.8109713222222,59.491654552381,62.6735243482759,41.2210422428571
0007CB30A6,43.346597195,36.3609336737705,10.052567565625,0,67.1583654333333,63.1674846404762,64.8266919951219,61.0422779611111,64.5820721212121,22.6006675297297
0007CB3713,51.0681483770834,57.4635172571428,24.0134887766667,67.1583654333333,0,15.617545025,61.5222392821429,59.3315920059524,46.7734552700935,27.5975018
0007CB47A6,56.4917122435897,63.9317721268293,59.6394671833333,63.1674846404762,15.617545025,0,56.1160019075269,44.7124546585228,38.5788543548192,37.4713274485294
0007CDDBAF,59.3517223951515,40.5431367984615,49.8109713222222,64.8266919951219,61.5222392821429,56.1160019075269,0,54.5534603601156,57.0131304166666,58.6809030409836
0007CDE223,58.8367540087719,57.9355259828947,59.491654552381,61.0422779611111,59.3315920059524,44.7124546585228,54.5534603601156,0,38.4047032375367,29.4434297474226
0007CDEC0B,59.775588399495,59.0742281056075,62.6735243482759,64.5820721212121,46.7734552700935,38.5788543548192,57.0131304166666,38.4047032375367,0,56.101471178125
0007CE0327,52.5657656885715,45.488153990625,41.2210422428571,22.6006675297297,27.5975018,37.4713274485294,58.6809030409836,29.4434297474226,56.101471178125,0
