ID,0007ABF555,0007AC2B02,0007ACA781,0007CB2224,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0007ABF555,0,0,0,0,1,0,0,0,0,0
0007AC2B02,0,0,0,0,2,0,0,0,0,0
0007ACA781,0,0,0,0,0,0,0,0,0,0
0007CB2224,0,0,0,0,0,0,0,0,0,0
0007CB7051,1,0,3,0,0,0,0,0,0,0
0007CD6778,0,1,0,0,0,0,0,0,0,0
0007CD765E,0,0,0,0,0,0,0,0,0,0
0007CDADED,0,0,0,1,0,0,0,0,0,0
0007CDC443,0,0,0,0,0,0,0,0,0,0
0007CDEAA7,0,0,1,1,0,0,0,0,0,0
