ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,57.8387005280769,37.7578925967924,41.2472863932653,38.2021116386764,62.5052424636364,52.678367374359,12.9422378043802,55.9701222380851,56.1716702014706
0007CB0F67,57.8387005280769,0,56.0117046871111,58.6691486535294,23.0405607348718,24.823183585102,13.6982528171304,45.202269756,53.4418552925806,67.6261237773333
0007CB48B4,37.7578925967924,56.0117046871111,0,33.6362504456589,52.8149210707059,20.7092325122807,65.4564129,42.0740750890625,55.0335959906667,51.7651642104167
0007CB6DFA,41.2472863932653,58.6691486535294,33.6362504456589,0,33.9064924552174,67.4447022236842,57.0090107929167,46.95813328,44.3033385464,49.3788892415217
0007F29741,38.2021116386764,23.0405607348718,52.8149210707059,33.9064924552174,0,62.6064815928571,56.9852138686046,22.902556231,53.6557345998214,60.5597268672973
0007F2B88A,62.5052424636364,24.823183585102,20.7092325122807,67.4447022236842,62.6064815928571,0,22.2515639,65.6512975733334,38.5429607352941,27.50379137
0007F2C687,52.678367374359,13.6982528171304,65.4564129,57.0090107929167,56.9852138686046,22.2515639,0,46.97584631,29.2576081344578,62.1910635675
0007F2EEFA,12.9422378043802,45.202269756,42.0740750890625,46.95813328,22.902556231,65.6512975733334,46.97584631,0,51.419775139375,52.2647931811111
0007F2F26A,55.9701222380851,53.4418552925806,55.0335959906667,44.3033385464,53.6557345998214,38.5429607352941,29.2576081344578,51.419775139375,0,18.9011900348855
0007F2F283,56.1716702014706,67.6261237773333,51.7651642104167,49.3788892415217,60.5597268672973,27.50379137,62.1910635675,52.2647931811111,18.9011900348855,0
