ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,26,53,49,68,11,39,121,47,68
0007CB0F67,26,0,45,34,78,49,115,15,31,15
0007CB48B4,53,45,0,129,85,57,24,32,60,48
0007CB6DFA,49,34,129,0,69,19,48,15,50,46
0007F29741,68,78,85,69,0,14,43,50,56,37
0007F2B88A,11,49,57,19,14,0,29,15,17,20
0007F2C687,39,115,24,48,43,29,0,26,83,20
0007F2EEFA,121,15,32,15,50,15,26,0,16,36
0007F2F26A,47,31,60,50,56,17,83,16,0,131
0007F2F283,68,15,48,46,37,20,20,36,131,0
