ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,30,17,111,10,39,67,59,91,24
0007CB0942,30,0,12,35,5,30,70,27,31,52
0007CB30A6,17,12,0,26,3,27,40,14,15,13
0007CB486D,111,35,26,0,14,104,104,187,64,106
0007CD5116,10,5,3,14,0,3,7,12,0,8
0007CD86B3,39,30,27,104,3,0,95,130,56,106
0007CDC91B,67,70,40,104,7,95,0,113,59,46
0007CDDBAF,59,27,14,187,12,130,113,0,128,93
0007CDE223,91,31,15,64,0,56,59,128,0,27
0007CDEC0B,24,52,13,106,8,106,46,93,27,0
