ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,0.0575605766281568,0,0.0701898578121147,0,0.0247389082290201,0.0225822973413419,0.0533426246459559,0.0356125356125357,0.0610941125046233
0007CB0942,0.0960259252942183,0,0.0487514863258028,0.11114763979069,0,0.0272942744981853,0.0421381012245659,0.0434743514813648,0.168529476221783,0.0998621431693621
0007CB30A6,0,0.0544934055822515,0,0.144543985096299,0,0.0790311828753425,0.202775061693906,0.0610978734882883,0.0236138505369275,0.0371877206549881
0007CB486D,0.436977656489852,0.414783764441263,0.482575688283181,0,0.241529375194281,0.251759128953411,0.279135819714112,0.271613541338848,0.15138067061144,0.295686089909552
0007CD5116,0,0,0,0.0212870880249856,0,0,0,0.0223890662230814,0,0
0007CD86B3,0.113934845642163,0.0753501686944077,0.195188877709686,0.186241472836361,0,0,0.19090189505052,0.171132491120802,0.281284242822704,0.213610840254195
0007CDC91B,0.0827221558928879,0.0925263265514776,0.398335315101071,0.164242075559573,0,0.151840604399674,0,0.240794856808883,0.0773613850536928,0.0657341716821896
0007CDDBAF,0.404741599863552,0.19773029342603,0.248605140400622,0.331032026519822,0.309605222256762,0.281942078364566,0.498766121897845,0,0.409379793995179,0.286775831343936
0007CDE223,0.110864745011087,0.314487271240159,0.0394219335955366,0.0756965562587326,0,0.190134064143396,0.0657447501978862,0.167962954637414,0,0.0669446219024243
0007CDEC0B,0.30990960259253,0.303649933544628,0.101161620781122,0.240924906166954,0,0.235278868231983,0.0910276109326257,0.191723238771748,0.109083936007013,0
