ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,13.3333333333333,0,90.2333333333333,0,35.6333333333333,85.7333333333333,171.6,91.5333333333333,10.4333333333333
0007CB0942,13.3333333333333,0,17.1666666666667,16.4,3.9,54.1,119.233333333333,62.7333333333333,51.6666666666667,111.366666666667
0007CB30A6,0,17.1666666666667,0,80.7666666666667,0,122.566666666667,51.5333333333333,24.6333333333333,27.4333333333333,63.7333333333333
0007CB486D,90.2333333333333,16.4,80.7666666666667,0,0,265.933333333333,164.6,191.166666666667,94,81.2333333333333
0007CD5116,0,3.9,0,0,0,0,0,0,0,8.5
0007CD86B3,35.6333333333333,54.1,122.566666666667,265.933333333333,0,0,108.333333333333,279.3,176.366666666667,338.2
0007CDC91B,85.7333333333333,119.233333333333,51.5333333333333,164.6,0,108.333333333333,0,149.533333333333,49.4333333333333,76.0333333333333
0007CDDBAF,171.6,62.7333333333333,24.6333333333333,191.166666666667,0,279.3,149.533333333333,0,389.7,80.3
0007CDE223,91.5333333333333,51.6666666666667,27.4333333333333,94,0,176.366666666667,49.4333333333333,389.7,0,93.7333333333333
0007CDEC0B,10.4333333333333,111.366666666667,63.7333333333333,81.2333333333333,8.5,338.2,76.0333333333333,80.3,93.7333333333333,0
