ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,1.48148148148148,0,2.65392156862745,0,2.74102564102564,2.85777777777778,3.3,2.40877192982456,1.49047619047619
0007CB0942,1.48148148148148,0,2.14583333333333,1.82222222222222,1.3,2.84736842105263,2.77286821705426,2.72753623188406,2.15277777777778,2.36950354609929
0007CB30A6,0,2.14583333333333,0,2.37549019607843,0,2.7237037037037,1.84047619047619,2.23939393939394,2.11025641025641,2.65555555555556
0007CB486D,2.65392156862745,1.82222222222222,2.37549019607843,0,0,3.40940170940171,2.25479452054795,2.4508547008547,2.04347826086957,2.53854166666667
0007CD5116,0,1.3,0,0,0,0,0,0,0,2.125
0007CD86B3,2.74102564102564,2.84736842105263,2.7237037037037,3.40940170940171,0,0,2.51937984496124,2.82121212121212,3.39166666666667,4.83142857142857
0007CDC91B,2.85777777777778,2.77286821705426,1.84047619047619,2.25479452054795,0,2.51937984496124,0,2.13619047619048,1.83086419753086,2.3040404040404
0007CDDBAF,3.3,2.72753623188406,2.23939393939394,2.4508547008547,0,2.82121212121212,2.13619047619048,0,2.48216560509554,2.23055555555556
0007CDE223,2.40877192982456,2.15277777777778,2.11025641025641,2.04347826086957,0,3.39166666666667,1.83086419753086,2.48216560509554,0,3.23218390804598
0007CDEC0B,1.49047619047619,2.36950354609929,2.65555555555556,2.53854166666667,2.125,4.83142857142857,2.3040404040404,2.23055555555556,3.23218390804598,0
