ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,154.823529411765,99.4117647058823,94.6470588235294,390.705882352941,273.294117647059,98.8235294117647,1259.11764705882,67.4705882352941,357.823529411765
0007CB0B74,154.823529411765,0,638.294117647059,438.058823529412,147.764705882353,95.4705882352941,190.176470588235,124.647058823529,148.058823529412,314.352941176471
0007CB0DBC,99.4117647058823,638.294117647059,0,543.058823529412,360.882352941176,498.529411764706,653.647058823529,820.235294117647,605,1182.82352941176
0007CB2407,94.6470588235294,438.058823529412,543.058823529412,0,87.5882352941177,42.8235294117647,156.235294117647,52.4117647058824,260.941176470588,566.529411764706
0007F2B3FF,390.705882352941,147.764705882353,360.882352941176,87.5882352941177,0,365.294117647059,14.2352941176471,229.764705882353,119.294117647059,112.764705882353
0007F2B59E,273.294117647059,95.4705882352941,498.529411764706,42.8235294117647,365.294117647059,0,203.058823529412,384.705882352941,109.588235294118,472.058823529412
0007F2B8A2,98.8235294117647,190.176470588235,653.647058823529,156.235294117647,14.2352941176471,203.058823529412,0,47.4705882352941,45.0588235294118,342.470588235294
0007F2B9FC,1259.11764705882,124.647058823529,820.235294117647,52.4117647058824,229.764705882353,384.705882352941,47.4705882352941,0,154.529411764706,809.705882352941
0007F2E37E,67.4705882352941,148.058823529412,605,260.941176470588,119.294117647059,109.588235294118,45.0588235294118,154.529411764706,0,643.411764705882
0007F2E3D4,357.823529411765,314.352941176471,1182.82352941176,566.529411764706,112.764705882353,472.058823529412,342.470588235294,809.705882352941,643.411764705882,0
