ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,7,10,11,0,1,1,2,2,10
0007CB0B74,7,0,37,22,9,3,5,5,10,17
0007CB0DBC,4,29,0,56,19,9,25,29,85,54
0007CB2407,8,17,70,0,2,13,14,5,37,28
0007F2B3FF,5,8,20,4,0,2,6,8,32,11
0007F2B59E,0,0,5,7,0,0,2,0,5,3
0007F2B8A2,4,9,28,24,0,3,0,2,14,31
0007F2B9FC,7,4,31,4,6,0,2,0,23,14
0007F2E37E,7,10,48,20,14,1,11,11,0,52
0007F2E3D4,2,7,60,24,12,2,13,11,67,0
