ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,27.8903684261905,42.4937183913043,34.4616070782609,41.1365665567568,35.3656606163265,31.5192764666667,18.4080581504065,41.9363229235294,30.0948678029412
0007CB0B74,27.8903684261905,0,28.1197750008,48.6768238768293,28.2236917078947,49.103723865,42.5199069785714,49.951119737037,41.4691998142857,29.6414258651515
0007CB0DBC,42.4937183913043,28.1197750008,0,43.5228773836538,41.4329968322581,34.1643762495238,38.0518120428571,40.4450528172414,24.8242610711268,39.7206245243655
0007CB2407,34.4616070782609,48.6768238768293,43.5228773836538,0,49.6179108619048,29.0699732333333,33.5305705365854,40.3632438235294,51.7637383636364,42.0976585539062
0007F2B3FF,41.1365665567568,28.2236917078947,41.4329968322581,49.6179108619048,0,42.669193586747,60.0835283166667,28.106314190625,19.0320268777778,13.0986349485714
0007F2B59E,35.3656606163265,49.103723865,34.1643762495238,29.0699732333333,42.669193586747,0,37.9897167195122,27.3068766490566,43.7796199307692,41.4760637385417
0007F2B8A2,31.5192764666667,42.5199069785714,38.0518120428571,33.5305705365854,60.0835283166667,37.9897167195122,0,28.9110730071429,19.6794749666667,37.6960369828947
0007F2B9FC,18.4080581504065,49.951119737037,40.4450528172414,40.3632438235294,28.106314190625,27.3068766490566,28.9110730071429,0,43.7705416904762,29.7988130687943
0007F2E37E,41.9363229235294,41.4691998142857,24.8242610711268,51.7637383636364,19.0320268777778,43.7796199307692,19.6794749666667,43.7705416904762,0,38.0782025150685
0007F2E3D4,30.0948678029412,29.6414258651515,39.7206245243655,42.0976585539062,13.0986349485714,41.4760637385417,37.6960369828947,29.7988130687943,38.0782025150685,0
