ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,30,15,11,11,3,18,18,17,31
0007CB0B74,30,0,85,37,23,11,37,25,41,73
0007CB0DBC,15,85,0,78,83,37,33,84,124,103
0007CB2407,11,37,78,0,49,19,28,23,32,63
0007F2B3FF,11,23,83,49,0,14,18,59,69,53
0007F2B59E,3,11,37,19,14,0,8,8,16,17
0007F2B8A2,18,37,33,28,18,8,0,18,16,56
0007F2B9FC,18,25,84,23,59,8,18,0,34,81
0007F2E37E,17,41,124,32,69,16,16,34,0,102
0007F2E3D4,31,73,103,63,53,17,56,81,102,0
