ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,0,0,1,0,0.5,1,1,0,0
0007CB0B74,0,0,1,1,0,0,0,0,1,1
0007CB0DBC,0,0,0,0,0.5,1,0,0.333333333333333,0.294117647058824,0
0007CB2407,0,0,1,0,0,1,0.333333333333333,0.2,1,0.185185185185185
0007F2B3FF,0,1,0.5,0,0,1,0,0.666666666666667,1,0
0007F2B59E,0.5,0,0,0,0,0,1,0.666666666666667,0,0
0007F2B8A2,0,0,1,0.666666666666667,0,0,0,0,0,0.666666666666667
0007F2B9FC,0,0,0.666666666666667,0.8,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.642857142857143
0007F2E37E,0,0,0.705882352941177,0,0,1,0,0.666666666666667,0,0
0007F2E3D4,1,0,1,0.814814814814815,0,1,0.333333333333333,0.357142857142857,0,0
