ID,0007CB0942,0007CD38E5,0007CD81D3,0007CD86B3,0007CDC395,0007CDC91B,0007CDDBAF,0007CE0327
0007CB0942,0,8,4,2,1,3,2,7
0007CD38E5,1,0,76,79,2,10,8,6
0007CD81D3,5,43,0,68,4,10,14,12
0007CD86B3,2,48,95,0,16,15,38,18
0007CDC395,0,8,3,16,0,4,2,4
0007CDC91B,1,25,17,27,10,0,11,2
0007CDDBAF,6,16,42,53,2,9,0,3
0007CE0327,1,18,39,28,8,12,5,0
