ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,22.1261869,37.0647846857143,22.5177799571429,52.4866008,16.6783370785714,0,28.3639826388889,0,31.3473922428571
0007CB0B74,22.1261869,0,31.7432603,48.1625503571429,65.8799161333333,0,0,0,0,6.72163096666667
0007CB0DBC,37.0647846857143,31.7432603,0,46.2708816769231,44.62509755,32.0560138558824,36.19789367,39.7316478,12.9752641666667,46.6633684642857
0007CB2407,22.5177799571429,48.1625503571429,46.2708816769231,0,65.00641995,54.00904,18.8579969,0,57.98075784,27.4949438611111
0007F2B3FF,52.4866008,65.8799161333333,44.62509755,65.00641995,0,38.36823326875,73.6671374,43.5920719133333,54.288040275,13.1794154714286
0007F2B59E,16.6783370785714,0,32.0560138558824,54.00904,38.36823326875,0,44.09623013,28.2072240043478,51.9018207142857,35.3612571151515
0007F2B8A2,0,0,36.19789367,18.8579969,73.6671374,44.09623013,0,77.2990995,43.2069734125,24.5231632909091
0007F2B9FC,28.3639826388889,0,39.7316478,0,43.5920719133333,28.2072240043478,77.2990995,0,51.4652310833333,19.3119023722222
0007F2E37E,0,0,12.9752641666667,57.98075784,54.288040275,51.9018207142857,43.2069734125,51.4652310833333,0,40.2322407111111
0007F2E3D4,31.3473922428571,6.72163096666667,46.6633684642857,27.4949438611111,13.1794154714286,35.3612571151515,24.5231632909091,19.3119023722222,40.2322407111111,0
