ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,2.88235294117647,4.76176470588235,3.50367647058824,2.49732620320856,3.88235294117647,2.96732026143791,2.73235294117647,3.75816993464052,3.37450980392157
0007CB0B74,2.88235294117647,0,4.02229102167183,4.93137254901961,4.23529411764706,2.68627450980392,4.92156862745098,3.22794117647059,3.29946524064171,4.38303693570451
0007CB0DBC,4.76176470588235,4.02229102167183,0,6.21353746978243,6.16176470588235,3.59618441971383,5.62332301341589,5.08993212669683,4.59408324733402,6.31049465240642
0007CB2407,3.50367647058824,4.93137254901961,6.21353746978243,0,3.81699346405229,2.87132352941176,4.00750938673342,4.7318339100346,4.20386784850927,4.29264705882353
0007F2B3FF,2.49732620320856,4.23529411764706,6.16176470588235,3.81699346405229,0,3.46813725490196,8.35098039215686,3.96446078431373,5.84910485933504,4.76532507739938
0007F2B59E,3.88235294117647,2.68627450980392,3.59618441971383,2.87132352941176,3.46813725490196,0,4.13725490196078,5.81647058823529,4.92691622103387,3.56470588235294
0007F2B8A2,2.96732026143791,4.92156862745098,5.62332301341589,4.00750938673342,8.35098039215686,4.13725490196078,0,6.03361344537815,3.10873440285205,6.1307824100514
0007F2B9FC,2.73235294117647,3.22794117647059,5.08993212669683,4.7318339100346,3.96446078431373,5.81647058823529,6.03361344537815,0,4.53846153846154,6.98529411764706
0007F2E37E,3.75816993464052,3.29946524064171,4.59408324733402,4.20386784850927,5.84910485933504,4.92691622103387,3.10873440285205,4.53846153846154,0,5.6541889483066
0007F2E3D4,3.37450980392157,4.38303693570451,6.31049465240642,4.29264705882353,4.76532507739938,3.56470588235294,6.1307824100514,6.98529411764706,5.6541889483066,0
