ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,10,23,26,12,32,49,27,8,48
0007CB0B74,10,0,134,26,16,40,9,8,10,11
0007CB0DBC,23,134,0,43,22,141,71,64,276,42
0007CB2407,26,26,43,0,14,58,65,16,34,87
0007F2B3FF,12,16,22,14,0,59,5,84,66,7
0007F2B59E,32,40,141,58,59,0,86,84,59,44
0007F2B8A2,49,9,71,65,5,86,0,19,27,128
0007F2B9FC,27,8,64,16,84,84,19,0,44,219
0007F2E37E,8,10,276,34,66,59,27,44,0,36
0007F2E3D4,48,11,42,87,7,44,128,219,36,0
