ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,196,110,81,134,206,169,136,146,89
0007CB0B74,196,0,205,57,138,210,146,94,177,91
0007CB0DBC,110,205,0,119,109,264,215,158,392,128
0007CB2407,81,57,119,0,65,82,109,83,92,108
0007F2B3FF,134,138,109,65,0,192,206,129,372,106
0007F2B59E,206,210,264,82,192,0,354,239,411,223
0007F2B8A2,169,146,215,109,206,354,0,383,309,169
0007F2B9FC,136,94,158,83,129,239,383,0,167,264
0007F2E37E,146,177,392,92,372,411,309,167,0,195
0007F2ED4,89,91,128,108,106,223,169,264,195,0
