ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,3.45913585887617,0.297822128745902,1.35584064473369,0.210500496766427,2.60144015960785,0.488675443760455,0.647899020757637,0.154108694948324,0.603371407806347
0007ACA781,3.45913585887617,0,0.0714163663476235,0.690250132054523,0.168348074345007,0.120783204815162,0.400913420543741,0.683324649367506,4.05306877050959,0.32903040857823
0007CB2224,0.297822128745902,0.0714163663476235,0,0,1.76499300807288,2.80884576660514,0.582108892454387,0.860339202570505,0.567267784199364,3.91108386637438
0007CD38E5,1.35584064473369,0.690250132054523,0,0,1.21399019387535,1.87752552090242,3.23538751738025,0.230734929493236,0,1.24850460601619
0007CD72E3,0.210500496766427,0.168348074345007,1.76499300807288,1.21399019387535,0,1.23553065794129,1.22238750461902,4.80478905765312,0.404082576993274,0.22618585137256
0007CD7FB2,2.60144015960785,0.120783204815162,2.80884576660514,1.87752552090242,1.23553065794129,0,0,0.321342082252261,0.404123485300358,1.05119362829203
0007CD81D3,0.488675443760455,0.400913420543741,0.582108892454387,3.23538751738025,1.22238750461902,0,0,0.155948240431608,0.461742578272113,2.66489348476691
0007CDEAA7,0.647899020757637,0.683324649367506,0.860339202570505,0.230734929493236,4.80478905765312,0.321342082252261,0.155948240431608,0,1.54928833386432,0
0007CDEEE2,0.154108694948324,4.05306877050959,0.567267784199364,0,0.404082576993274,0.404123485300358,0.461742578272113,1.54928833386432,0,1.02350289846894
0007CE0327,0.603371407806347,0.32903040857823,3.91108386637438,1.24850460601619,0.22618585137256,1.05119362829203,2.66489348476691,0,1.02350289846894,0
