ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,94.7666666666667,8.13333333333333,25.5666666666667,10.1666666666667,121.433333333333,9.66666666666667,8.53333333333333,0,6.66666666666667
0007ACA781,94.7666666666667,0,12.6,13.4666666666667,41.4,116.533333333333,15.1,9.73333333333333,127.4,14.8
0007CB2224,8.13333333333333,12.6,0,23.7,33.4,119.533333333333,0,0,16.4333333333333,54.7333333333333
0007CD38E5,25.5666666666667,13.4666666666667,23.7,0,75.3666666666667,134.966666666667,128.1,0,35.2333333333333,129.366666666667
0007CD72E3,10.1666666666667,41.4,33.4,75.3666666666667,0,162.2,69.6,50.3,36.3,61.9666666666667
0007CD7FB2,121.433333333333,116.533333333333,119.533333333333,134.966666666667,162.2,0,170.9,21.2333333333333,75.6,123.733333333333
0007CD81D3,9.66666666666667,15.1,0,128.1,69.6,170.9,0,0,55.2666666666667,73.9
0007CDEAA7,8.53333333333333,9.73333333333333,0,0,50.3,21.2333333333333,0,0,74.9333333333333,0
0007CDEEE2,0,127.4,16.4333333333333,35.2333333333333,36.3,75.6,55.2666666666667,74.9333333333333,0,37.2333333333333
0007CE0327,6.66666666666667,14.8,54.7333333333333,129.366666666667,61.9666666666667,123.733333333333,73.9,0,37.2333333333333,0
