ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,1.99591836734694,0,1.775,2.34166666666667,1.82121212121212,1.28888888888889,2.27179487179487,2.1047619047619,1.41666666666667
0007ACA781,1.99591836734694,0,9.31666666666667,2.22745098039216,2.05416666666667,4.29393939393939,1.68888888888889,9.51333333333333,4.50547263681592,3.17948717948718
0007CB2224,0,9.31666666666667,0,4.74583333333333,4.41090909090909,2.70416666666667,2.53030303030303,0,2.26666666666667,1.74504504504504
0007CD38E5,1.775,2.22745098039216,4.74583333333333,0,4.13529411764706,6.11733333333333,1.81709401709402,2.09393939393939,2.47666666666667,3.6875
0007CD72E3,2.34166666666667,2.05416666666667,4.41090909090909,4.13529411764706,0,6.51296296296296,2.19883040935673,2.40909090909091,4.45531135531136,1.33333333333333
0007CD7FB2,1.82121212121212,4.29393939393939,2.70416666666667,6.11733333333333,6.51296296296296,0,1.98095238095238,2.43518518518519,2.81904761904762,0
0007CD81D3,1.28888888888889,1.68888888888889,2.53030303030303,1.81709401709402,2.19883040935673,1.98095238095238,0,2.29333333333333,2.70454545454545,1.69166666666667
0007CDEAA7,2.27179487179487,9.51333333333333,0,2.09393939393939,2.40909090909091,2.43518518518519,2.29333333333333,0,2.41292517006803,4.26666666666667
0007CDEEE2,2.1047619047619,4.50547263681592,2.26666666666667,2.47666666666667,4.45531135531136,2.81904761904762,2.70454545454545,2.41292517006803,0,1.50666666666667
0007CE0327,1.41666666666667,3.17948717948718,1.74504504504504,3.6875,1.33333333333333,0,1.69166666666667,4.26666666666667,1.50666666666667,0
