"","start_frame","focal","partner","focal_smooth","partner_smooth","day","group","approacher_smooth"
"1",392340,"0007AC2B02","0007CB0942",349.270843148701,44.1481712174416,"10",1,"0007AC2B02"
"2",531924,"0007AC2B02","0007CB0942",384.867765048087,NA,"10",1,NA
"3",531990,"0007AC2B02","0007CB0942",350.415205184038,21.4907340025673,"10",1,"0007AC2B02"
"4",635325,"0007AC2B02","0007CB0942",222.848910848233,35.263360460042,"10",1,"0007AC2B02"
"5",636010,"0007AC2B02","0007CB0942",NA,18.0277125028854,"10",1,NA
"6",654085,"0007AC2B02","0007CB0942",11.3985008002726,NA,"10",1,NA
"7",796310,"0007AC2B02","0007CB0942",137.180436663542,113.100516573521,"10",1,"0007AC2B02"
"8",1149406,"0007AC2B02","0007CB0942",21.7208921978237,NA,"10",1,NA
"9",1470008,"0007AC2B02","0007CB0942",94.1613016816933,NA,"10",1,NA
"10",1475145,"0007AC2B02","0007CB0942",37.0681513741906,NA,"10",1,NA
"11",1475447,"0007AC2B02","0007CB0942",31.0519542142036,NA,"10",1,NA
"12",1475648,"0007AC2B02","0007CB0942",87.0350570276181,24.9597819160321,"10",1,"0007AC2B02"
"13",1527134,"0007AC2B02","0007CB0942",339.664815684114,648.847894246849,"10",1,"0007CB0942"
"14",1534786,"0007AC2B02","0007CB0942",117.293663966551,163.153038536708,"10",1,"0007CB0942"
"15",1534939,"0007AC2B02","0007CB0942",391.531795357725,95.134455540247,"10",1,"0007AC2B02"
"16",1535002,"0007AC2B02","0007CB0942",236.350787263002,46.1028001211697,"10",1,"0007AC2B02"
"17",1551429,"0007AC2B02","0007CB0942",245.250321195321,3.73794013256923,"10",1,"0007AC2B02"
"18",1553276,"0007AC2B02","0007CB0942",226.705436811336,3.30889824387811,"10",1,"0007AC2B02"
"19",1817402,"0007AC2B02","0007CB0942",NA,30.3759637882249,"10",1,NA
"20",1817575,"0007AC2B02","0007CB0942",18.527829272158,10.1009099994938,"10",1,"0007AC2B02"
"21",408028,"0007AC2B02","0007CB44CE",13.3615309488534,372.950467811946,"10",1,"0007CB44CE"
"22",408915,"0007AC2B02","0007CB44CE",18.1450517653316,29.0942464556126,"10",1,"0007CB44CE"
"23",408961,"0007AC2B02","0007CB44CE",27.6306027007306,77.8931441211049,"10",1,"0007CB44CE"
"24",532830,"0007AC2B02","0007CB44CE",NA,68.8065361078328,"10",1,NA
"25",649850,"0007AC2B02","0007CB44CE",NA,NA,"10",1,NA
"26",649917,"0007AC2B02","0007CB44CE",81.0846370128106,36.867539848951,"10",1,"0007AC2B02"
"27",650008,"0007AC2B02","0007CB44CE",83.1886577866116,24.3460772540711,"10",1,"0007AC2B02"
"28",650288,"0007AC2B02","0007CB44CE",11.636657112357,33.6445801101699,"10",1,"0007CB44CE"
"29",650398,"0007AC2B02","0007CB44CE",27.6347512514195,17.2006896817629,"10",1,"0007AC2B02"
"30",650458,"0007AC2B02","0007CB44CE",20.3679535008517,20.598508740136,"10",1,"0007CB44CE"
"31",653943,"0007AC2B02","0007CB44CE",12.756938277494,230.550074347995,"10",1,"0007CB44CE"
"32",654084,"0007AC2B02","0007CB44CE",11.6721271233607,28.1729473464381,"10",1,"0007CB44CE"
"33",654345,"0007AC2B02","0007CB44CE",39.3748334064611,104.475356544993,"10",1,"0007CB44CE"
"34",654436,"0007AC2B02","0007CB44CE",13.8070582316017,91.9020660744756,"10",1,"0007CB44CE"
"35",754002,"0007AC2B02","0007CB44CE",NA,NA,"10",1,NA
"36",885092,"0007AC2B02","0007CB44CE",136.406417222698,54.2084703159829,"10",1,"0007AC2B02"
"37",885158,"0007AC2B02","0007CB44CE",171.696111317519,61.8909686371244,"10",1,"0007AC2B02"
"38",953318,"0007AC2B02","0007CB44CE",81.7389112208718,91.0240767627892,"10",1,"0007CB44CE"
"39",954876,"0007AC2B02","0007CB44CE",151.941616938976,41.0774090367333,"10",1,"0007AC2B02"
"40",955745,"0007AC2B02","0007CB44CE",240.242605342606,446.420897921758,"10",1,"0007CB44CE"
"41",1049044,"0007AC2B02","0007CB44CE",70.5402008957915,41.8105165486572,"10",1,"0007AC2B02"
