"","start_frame","focal","partner","focal_smooth","partner_smooth","day","group","approacher_smooth"
"59",1634302,"0007AC2B02","0007CD765E",NA,14.8410073305895,"15",1,NA
"60",1634431,"0007AC2B02","0007CD765E",4.46505160565182,6.42353574709962,"15",1,"0007CD765E"
"61",1760311,"0007AC2B02","0007CD765E",341.418451322475,348.574893685598,"15",1,"0007CD765E"
"62",1761665,"0007AC2B02","0007CD765E",NA,151.245832655039,"15",1,NA
"63",1762308,"0007AC2B02","0007CD765E",4.97814101941752,89.3937868646578,"15",1,"0007CD765E"
"64",1762350,"0007AC2B02","0007CD765E",36.5012874022276,132.996357136673,"15",1,"0007CD765E"
"65",1762443,"0007AC2B02","0007CD765E",46.779280335274,70.6061305564146,"15",1,"0007CD765E"
"66",1762592,"0007AC2B02","0007CD765E",61.2921723905646,89.8063193962062,"15",1,"0007CD765E"
"67",1763551,"0007AC2B02","0007CD765E",NA,266.942619933527,"15",1,NA
"68",1772710,"0007AC2B02","0007CD765E",15.2084540134529,24.7124309972118,"15",1,"0007CD765E"
"69",1773525,"0007AC2B02","0007CD765E",NA,195.235892706948,"15",1,NA
"70",1774086,"0007AC2B02","0007CD765E",50.5770987289701,792.540041135187,"15",1,"0007CD765E"
"71",1911811,"0007AC2B02","0007CD765E",40.9186645927604,32.9543703401961,"15",1,"0007AC2B02"
"72",46056,"0007AC2B02","0007CD77C5",NA,285.316730205606,"15",1,NA
"73",46308,"0007AC2B02","0007CD77C5",107.203578163318,68.1313187088972,"15",1,"0007AC2B02"
"74",684512,"0007AC2B02","0007CD77C5",5.76248069032405,35.8189671104498,"15",1,"0007CD77C5"
"75",701878,"0007AC2B02","0007CD77C5",23.5902034708964,88.7740308173131,"15",1,"0007CD77C5"
"76",702141,"0007AC2B02","0007CD77C5",627.106730531839,631.340865880834,"15",1,"0007CD77C5"
"77",702210,"0007AC2B02","0007CD77C5",434.395289932697,478.472482328028,"15",1,"0007CD77C5"
"78",702319,"0007AC2B02","0007CD77C5",158.080271800134,57.0079517679626,"15",1,"0007AC2B02"
"79",702435,"0007AC2B02","0007CD77C5",40.5744077836161,28.5087702013149,"15",1,"0007AC2B02"
"80",702520,"0007AC2B02","0007CD77C5",71.8119949007781,24.5044329902578,"15",1,"0007AC2B02"
"81",702644,"0007AC2B02","0007CD77C5",7.84246922448868,32.8536219041393,"15",1,"0007CD77C5"
"82",702725,"0007AC2B02","0007CD77C5",19.2121740715903,159.73939955693,"15",1,"0007CD77C5"
"83",772737,"0007AC2B02","0007CD77C5",143.174420492986,NA,"15",1,NA
"84",960720,"0007AC2B02","0007CD77C5",537.352956710257,NA,"15",1,NA
"85",962141,"0007AC2B02","0007CD77C5",258.72082525482,8.03893505979981,"15",1,"0007AC2B02"
"86",962662,"0007AC2B02","0007CD77C5",NA,65.0764465952695,"15",1,NA
"87",962919,"0007AC2B02","0007CD77C5",10.1567942577947,92.2364655238976,"15",1,"0007CD77C5"
"88",963096,"0007AC2B02","0007CD77C5",133.997979942534,52.5315098885794,"15",1,"0007AC2B02"
"89",963879,"0007AC2B02","0007CD77C5",160.817710252869,171.231667054772,"15",1,"0007CD77C5"
"90",965034,"0007AC2B02","0007CD77C5",263.050087198064,7.39034007859187,"15",1,"0007AC2B02"
"91",995306,"0007AC2B02","0007CD77C5",251.412131039278,4.10647945092669,"15",1,"0007AC2B02"
"92",996550,"0007AC2B02","0007CD77C5",8.52042723249152,NA,"15",1,NA
"93",998204,"0007AC2B02","0007CD77C5",14.5175637908475,7.59285666087964,"15",1,"0007AC2B02"
"94",1002187,"0007AC2B02","0007CD77C5",24.4660765435511,NA,"15",1,NA
"95",1003119,"0007AC2B02","0007CD77C5",2.49238230362282,8.48459568348475,"15",1,"0007CD77C5"
"96",1004558,"0007AC2B02","0007CD77C5",28.2651220884268,42.074303411483,"15",1,"0007CD77C5"
"97",1005187,"0007AC2B02","0007CD77C5",NA,8.92155701686147,"15",1,NA
"98",1006482,"0007AC2B02","0007CD77C5",NA,16.6087428112383,"15",1,NA
"99",1007677,"0007AC2B02","0007CD77C5",26.2080535584533,29.0246867899112,"15",1,"0007CD77C5"
"100",1008080,"0007AC2B02","0007CD77C5",4.1019272237206,10.2228917948105,"15",1,"0007CD77C5"
"101",1008480,"0007AC2B02","0007CD77C5",25.609385163172,25.1586997593632,"15",1,"0007AC2B02"
"102",1009752,"0007AC2B02","0007CD77C5",8.03021731803166,13.903926070667,"15",1,"0007CD77C5"
"103",1010200,"0007AC2B02","0007CD77C5",NA,17.0309662475111,"15",1,NA
"104",1010243,"0007AC2B02","0007CD77C5",7.134291842605,18.8345818861928,"15",1,"0007CD77C5"
"105",1010294,"0007AC2B02","0007CD77C5",12.5887312552463,15.7317737977476,"15",1,"0007CD77C5"
"106",1010645,"0007AC2B02","0007CD77C5",8.38422103386446,17.4446610522788,"15",1,"0007CD77C5"
"107",1013840,"0007AC2B02","0007CD77C5",21.3871230844758,NA,"15",1,NA
"108",1016796,"0007AC2B02","0007CD77C5",NA,10.8870042089942,"15",1,NA
"109",1018131,"0007AC2B02","0007CD77C5",NA,24.5580842144846,"15",1,NA
"110",1018278,"0007AC2B02","0007CD77C5",11.460704834571,11.132871620944,"15",1,"0007AC2B02"
"111",1018559,"0007AC2B02","0007CD77C5",4.47509698329093,12.991926778293,"15",1,"0007CD77C5"
"112",1018967,"0007AC2B02","0007CD77C5",NA,16.414612415614,"15",1,NA
"113",1020743,"0007AC2B02","0007CD77C5",NA,32.2180151377916,"15",1,NA
"114",1021144,"0007AC2B02","0007CD77C5",NA,20.0542521617368,"15",1,NA
"115",1022115,"0007AC2B02","0007CD77C5",19.2210294945792,NA,"15",1,NA
"116",1022489,"0007AC2B02","0007CD77C5",NA,36.5246016106207,"15",1,NA
"117",1022574,"0007AC2B02","0007CD77C5",6.65501375926027,27.2761979303729,"15",1,"0007CD77C5"
"118",1023752,"0007AC2B02","0007CD77C5",NA,NA,"15",1,NA
"119",1023819,"0007AC2B02","0007CD77C5",15.1910037920668,19.9467635209458,"15",1,"0007CD77C5"
"120",1024547,"0007AC2B02","0007CD77C5",8.31044437677703,19.5566509829023,"15",1,"0007CD77C5"
"121",1024915,"0007AC2B02","0007CD77C5",22.2012476445865,26.1134658990341,"15",1,"0007CD77C5"
"122",1025092,"0007AC2B02","0007CD77C5",14.1540631039361,20.6408923544376,"15",1,"0007CD77C5"
"123",1025161,"0007AC2B02","0007CD77C5",18.3198150914229,22.1757597993534,"15",1,"0007CD77C5"
