"x_partner","y_partner","x_partner_smooth","y_partner_smooth","partner_length","x_focal","y_focal","x_focal_smooth","y_focal_smooth","focal_length"
509.588653564453,379.634887695312,509.797359091044,381.289455431768,91.5938234753393,515.903503417969,360.472534179688,516.094076979794,361.512124054225,23.9811738925608
515.648986816406,384.931640625,515.635495450616,382.661555658733,NA,515.163330078125,362.104644775391,514.305191743671,361.547626216062,NA
520.322082519531,385.991546630859,520.318261197382,383.881727141746,NA,514.132019042969,362.696319580078,512.681518268397,361.709801033033,NA
524.078002929688,384.030059814453,523.947592578395,384.956763334382,NA,510.915863037109,362.016326904297,511.215414237275,361.975092672723,NA
525.23486328125,383.547607421875,526.625425840691,385.893457690211,NA,509.101867675781,362.891723632812,509.899237333616,362.319945302716,NA
527.994445800781,385.729949951172,528.453697231319,386.698603662807,NA,506.739410400391,363.009490966797,508.725345240722,362.720803090598,NA
531.689819335938,386.8291015625,529.53434299732,387.378994705741,NA,505.865051269531,362.778564453125,507.686095641902,363.154110203952,NA
532.217224121094,388.113220214844,529.969299385736,387.941424272584,NA,505.166595458984,362.338409423828,506.773846220461,363.596310810364,NA
531.555725097656,389.737335205078,529.860502643613,388.392685816909,NA,506.240814208984,362.594329833984,505.980954659706,364.023849077419,NA
527.996704101562,389.806518554688,529.309889017992,388.739572792288,NA,507.494232177734,365.659698486328,505.299778642943,364.4131691727,NA
526.337097167969,389.438385009766,528.419394755917,388.988878652293,NA,506.490753173828,364.054046630859,504.722675853479,364.740715263793,NA
525.446594238281,389.314392089844,527.464902670175,388.933490624729,NA,506.12646484375,364.008880615234,504.108922224491,364.63587045311,NA
524.979858398438,389.047149658203,526.464784151434,389.100660989393,NA,506.621612548828,366.028472900391,503.673194778008,364.569125277422,NA
524.124816894531,388.614868164062,525.422300769598,389.254432082137,NA,503.162750244141,367.186309814453,503.535041751718,364.421905577436,NA
523.96484375,388.861236572266,524.449832533418,389.216219684742,NA,501.880310058594,365.327697753906,503.411623228684,364.280525279848,NA
522.873718261719,388.741516113281,523.490486935643,388.991606508762,NA,501.484344482422,364.859161376953,503.367085282574,364.131379849851,NA
523.311279296875,388.795135498047,522.682851511421,388.780144643144,NA,501.063232421875,363.574279785156,503.283412508109,363.876016687279,NA
522.33447265625,388.618255615234,522.268639605978,388.576864720794,NA,502.399719238281,362.541320800781,503.241478692086,363.436290500288,NA
521.658752441406,388.406707763672,522.068652778718,388.385497917183,NA,502.745300292969,361.804351806641,503.202168100836,362.866158551817,NA
521.732055664062,387.7392578125,522.037016575225,388.290914175751,NA,503.570373535156,360.269958496094,503.404275585522,362.189398434786,NA
522.108703613281,387.884429931641,521.706344818983,388.10043986415,NA,504.034545898438,360.486511230469,503.858191259159,361.768273863928,NA
521.897033691406,388.389831542969,521.258795666827,388.173075121966,NA,505.130767822266,362.060272216797,504.300878100163,361.242116109418,NA
521.564575195312,388.378204345703,521.15319894053,388.439611698685,NA,506.326293945312,361.574615478516,504.903388700208,360.739482808557,NA
522.105895996094,388.792877197266,521.284396054036,388.533724936678,NA,505.709716796875,362.265777587891,505.641092430731,360.453735880308,NA
522.254028320312,388.267211914062,521.455899196499,388.573321489307,NA,506.107086181641,360.173248291016,506.072098840799,360.407450102014,NA
521.728820800781,388.25390625,521.869060794447,388.614788363439,NA,506.170471191406,359.239898681641,506.346978777723,360.252002328235,NA
521.904174804688,388.392272949219,522.382764194634,388.672726589077,NA,506.556274414062,359.022888183594,506.514842985814,360.107250162494,NA
521.424255371094,388.140533447266,523.134749403495,388.81098572356,NA,506.694152832031,359.813201904297,506.505862520263,359.957225743897,NA
521.611511230469,388.564239501953,524.110406312571,388.785138322544,NA,507.314971923828,359.817474365234,506.410954195874,359.799784642746,NA
521.759521484375,389.040771484375,525.142441928211,388.699659184795,NA,506.351867675781,360.399658203125,506.234301814385,359.626656860596,NA
525.849426269531,391.784912109375,526.250246714517,388.475968649279,NA,505.553863525391,359.678863525391,505.980089177539,359.429572399007,NA
530.197998046875,389.012878417969,527.302505478199,388.231045192034,NA,506.211700439453,359.660247802734,505.652500087074,359.200261259535,NA
529.005310058594,385.969665527344,528.191425085301,387.924086252433,NA,504.645355224609,359.120147705078,505.255718344732,358.930453443738,NA
528.890502929688,387.499206542969,528.941355251027,387.612251144564,NA,503.807922363281,358.380126953125,504.793927752254,358.611878953172,NA
531.078125,387.518768310547,529.456321234951,387.464765635375,NA,504.447875976562,357.078338623047,504.271312111378,358.236267789396,NA
531.197265625,387.435668945312,529.893758643488,387.163968024202,NA,504.101043701172,357.647094726562,503.692055223847,357.795349953966,NA
531.889892578125,386.684112548828,530.07853249297,386.822682994532,NA,503.176177978516,357.972503662109,503.060340891399,357.280855448439,NA
531.813903808594,384.655456542969,529.882060305049,386.608391354309,NA,NA,NA,NA,NA,NA
529.441223144531,385.656646728516,529.333367838116,386.284407606621,NA,NA,NA,NA,NA,NA
528.074890136719,385.412292480469,528.481014435024,385.896726989247,NA,NA,NA,NA,NA,NA
525.941528320312,385.732971191406,527.329060859094,385.463145330553,NA,NA,NA,NA,NA,NA
525.1357421875,385.177032470703,526.209740660244,385.142673538572,NA,NA,NA,NA,NA,NA
524.8681640625,385.838531494141,525.296351123223,384.495293888168,NA,NA,NA,NA,NA,NA
523.502014160156,385.508728027344,524.046161134089,383.420801677124,NA,NA,NA,NA,NA,NA
524.106750488281,382.797882080078,522.886817056706,382.86470257702,NA,NA,NA,NA,NA,NA
521.847229003906,383.192565917969,522.237314145056,382.303250819415,NA,NA,NA,NA,NA,NA
