ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,28.6803099149254,60.9878866510204,41.6494722727273,59.129173932,54.3018255684211,45.9082695309524,47.9894182425,62.6889217181818,46.2440799625
0007CB0B74,28.6803099149254,0,52.6109903990826,58.1496172166667,45.5688215423729,63.187433119,52.4054015521739,61.6591965472727,63.3319317721311,45.4529075238095
0007CB0DBC,60.9878866510204,52.6109903990826,0,61.9593843052632,63.789429934,56.1186276721739,55.4040565032787,64.748139975,46.394778183,53.895666436
0007CB2407,41.6494722727273,58.1496172166667,61.9593843052632,0,66.2181147947368,60.5617826666667,65.7486702340909,61.214109137931,64.4123071842105,45.5220389375
0007F2B3FF,59.129173932,45.5688215423729,63.789429934,66.2181147947368,0,60.9974915967391,52.9072465651685,59.7844986478261,35.1515218137255,55.1419229956522
0007F2B59E,54.3018255684211,63.187433119,56.1186276721739,60.5617826666667,60.9974915967391,0,44.6256909776859,49.3731364356522,57.9779170281481,48.0637041583333
0007F2B8A2,45.9082695309524,52.4054015521739,55.4040565032787,65.7486702340909,52.9072465651685,44.6256909776859,0,39.3909413177778,57.6261989228916,60.614141244186
0007F2B9FC,47.9894182425,61.6591965472727,64.748139975,61.214109137931,59.7844986478261,49.3731364356522,39.3909413177778,0,58.0832923955556,16.7198342631579
0007F2E37E,62.6889217181818,63.3319317721311,46.394778183,64.4123071842105,35.1515218137255,57.9779170281481,57.6261989228916,58.0832923955556,0,57.935585925
0007F2ED4,46.2440799625,45.4529075238095,53.895666436,45.5220389375,55.1419229956522,48.0637041583333,60.614141244186,16.7198342631579,57.935585925,0
