ID,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2ED4
0007CA3A72,0,53.4333333333333,59.2333333333333,54,22.3,46.9,73.5666666666667,91.8666666666667,28.0666666666667,64.3333333333333
0007CB0B74,53.4333333333333,0,32.5666666666667,37.2333333333333,115.066666666667,41.8666666666667,41.8666666666667,15.8,45.5,36.8666666666667
0007CB0DBC,59.2333333333333,32.5666666666667,0,146.9,37.9,79.1,93.7333333333333,49.1333333333333,77.4333333333333,50.2333333333333
0007CB2407,54,37.2333333333333,146.9,0,21.0333333333333,43.8,55.6,31.7,16.8333333333333,37.3
0007F2B3FF,22.3,115.066666666667,37.9,21.0333333333333,0,92.9,78.7666666666667,103.966666666667,191.8,61
0007F2B59E,46.9,41.8666666666667,79.1,43.8,92.9,0,91.6,71.1666666666667,99.7333333333333,148.8
0007F2B8A2,73.5666666666667,41.8666666666667,93.7333333333333,55.6,78.7666666666667,91.6,0,186.166666666667,62.9,61.4333333333333
0007F2B9FC,91.8666666666667,15.8,49.1333333333333,31.7,103.966666666667,71.1666666666667,186.166666666667,0,88.5333333333333,259.8
0007F2E37E,28.0666666666667,45.5,77.4333333333333,16.8333333333333,191.8,99.7333333333333,62.9,88.5333333333333,0,111.166666666667
0007F2ED4,64.3333333333333,36.8666666666667,50.2333333333333,37.3,61,148.8,61.4333333333333,259.8,111.166666666667,0
