ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,2.05,31.65,10.4,12.25,5.55,7.55,53.4,8.1,11.8
0007CB0F67,2.05,0,50.5,10.05,14.05,24.95,37.5,0,20.25,4.25
0007CB48B4,31.65,50.5,0,53.7,8.9,0,0,26.75,0,55.25
0007CB6DFA,10.4,10.05,53.7,0,0,0,2,8.35,31.5,29.55
0007F29741,12.25,14.05,8.9,0,0,6.65,20.2,26.2,11.95,14.75
0007F2B88A,5.55,24.95,0,0,6.65,0,30.45,21.7,0,10.85
0007F2C687,7.55,37.5,0,2,20.2,30.45,0,3.5,105.5,0
0007F2EEFA,53.4,0,26.75,8.35,26.2,21.7,3.5,0,0,9.9
0007F2F26A,8.1,20.25,0,31.5,11.95,0,105.5,0,0,85.65
0007F2F283,11.8,4.25,55.25,29.55,14.75,10.85,0,9.9,85.65,0
