ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,0.073433512900482,0.0625607149795999,0.0119510879862417,0,0.068492072858885,0,0.0350822075610011,0.0271112884720906,0.0231657082262735
0007CB3491,0.366013071895425,0,0.153001748591413,0.107180854940026,0.174261757200146,0.141626342499705,0.0286776420605417,0.246870554765291,0.113901500819776,0.26
0007CB4837,0.113760819643173,0.0558193932520556,0,0.0460408377421189,0.205103668261563,0.0311971360006294,0.0559868266290283,0.130796586059744,0.0456551898095598,0.0438184663536777
0007CB6AB4,0.144850733086027,0.260632265381343,0.306877792889062,0,0.0768740031897926,0.286635980959125,0.873559162549987,0.283499288762446,0.676945390339261,0.228419405320814
0007CD5116,0,0.0258294607154437,0.0833549390718176,0.00555875908199746,0,0.0257471996602431,0.194191780821918,0.0291173794358509,0.0221181737924076,0.0147667284919389
0007CDE223,0.307542836954601,0.127587184576127,0.0770351661161842,0.10618978910702,0.226423902894491,0,0.0326981886614914,0.313655761024182,0.0864705511413799,0.26754303599374
0007CDE4F0,0,0.0112091333679294,0.0686472454571675,0.151689064989175,0.441895261845387,0.0174207294147136,0,0,0.0224971317404101,0.0241881725549948
0007CDEAA7,0.0890247143236779,0.123015310462149,0.178647755974354,0.0580939472111699,0.0685224839400428,0.173492269562139,0,0,0.0311514692899483,0.0427856025039124
0007CDEC0B,0.365746971736205,0.256060391267366,0.28132892947348,0.625828924547826,0.349875311720698,0.215783469058579,0.11975570897504,0.14054054054054,0,0.380907668231612
0007CDEEE2,0.191117092866756,0.294407428409413,0.136001554303478,0.106364683077551,0.163378058405683,0.33628388213541,0.0367636416268635,0.097226173541963,0.191858998612688,0
