ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,26,8,35,0,61,1,7,50,19
0007CB3491,26,0,35,109,4,67,16,45,60,127
0007CB4837,8,35,0,131,1,21,9,31,79,60
0007CB6AB4,35,109,131,0,3,107,87,80,482,178
0007CD5116,0,4,1,3,0,10,30,5,2,0
0007CDE223,61,67,21,107,10,0,1,34,65,128
0007CDE4F0,1,16,9,87,30,1,0,0,30,31
0007CDEAA7,7,45,31,80,5,34,0,0,51,52
0007CDEC0B,50,60,79,482,2,65,30,51,0,236
0007CDEEE2,19,127,60,178,0,128,31,52,236,0
