ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,0.0244389933678568,0.0470580577974486,0.0479431784551644,0.0682470368059889,0.0629782432384781,0.0372290292177191,0.119782829996607,0.113050273508727,0
0007CB2224,0.116483833718245,0,0.77453788076022,0.142053862089376,0.318153462258266,0.203850629429811,0.461424532112563,0.24397692568714,0.207531723291036,0.422575155984119
0007CB3491,0.104359122401848,0.360376729959723,0,0.130511985794614,0.0895820336868373,0.0687259776437815,0.0657062070822674,0.201221581269088,0.0773266847765415,0.0229722064662508
0007CB4837,0.0233833718244804,0.0145362042336695,0.0287034626399375,0,0.0548346849656894,0,0.0846909923252996,0,0.0165593718602314,0.0859330686330121
0007CD72E3,0.157909930715936,0.154447169982738,0.0934652434261912,0.26013613495117,0,0.142071300116365,0.184327453884476,0.213776722090261,0.069437725598184,0.157118547929666
0007CD77C5,0.257794457274827,0.175070409739257,0.126854985680812,0,0.25134123518403,0,0.0788339841120237,0.0699015948422125,0.685446358798794,0.159671015314805
0007CDE223,0.0798210161662817,0.207564882953272,0.063525123665712,0.372299496892573,0.170804741110418,0.0412920060650939,0,0.34747200542925,0.063595430357608,0.255246738513897
0007CDEC0B,0.0509526558891457,0.0217740225916841,0.0385967196042698,0,0.0393013100436681,0.00726400789872704,0.068937659889592,0,0.0132847095597812,0.0201361315938742
0007CDEEE2,0.438510392609702,0.168892522939947,0.135251236657121,0.131695767978692,0.116406737367436,0.649529249973553,0.115053184327454,0.121140142517815,0,0.170731707317074
0007CE0327,0,0.0451228006420157,0.00527206456651914,0.0896715004439186,0.0345601996257019,0.0198526041115696,0.0605897401373368,0.0240922972514422,0.0224016671008075,0
