ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,29,15,9,34,21,37,11,21,6
0007CB2224,29,0,167,30,118,65,199,15,70,22
0007CB3491,15,167,0,5,70,44,63,14,17,9
0007CB4837,9,30,5,0,14,9,16,4,13,0
0007CD72E3,34,118,70,14,0,30,119,31,50,36
0007CD77C5,21,65,44,9,30,0,51,9,154,10
0007CDE223,37,199,63,16,119,51,0,25,67,50
0007CDEC0B,11,15,14,4,31,9,25,0,17,4
0007CDEEE2,21,70,17,13,50,154,67,17,0,20
0007CE0327,6,22,9,0,36,10,50,4,20,0
