ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,2.07741935483871,3.4479674796748,1.66111111111111,3.39425287356322,3.194,2.67222222222222,0,2.23162393162393,3.76666666666667
0007CB2224,2.07741935483871,0,1.93269841269841,3.30555555555556,3.05466666666667,3.99218106995885,3.13949044585987,3.205,3.28148148148148,2.53464052287582
0007CB3491,3.4479674796748,1.93269841269841,0,2.68333333333333,2.26881720430108,2.77892156862745,1.89242424242424,2.42222222222222,1.98484848484848,3.04
0007CB4837,1.66111111111111,3.30555555555556,2.68333333333333,0,1.98888888888889,3.26,1.83333333333333,1.45,1.62857142857143,0
0007CD72E3,3.39425287356322,3.05466666666667,2.26881720430108,1.98888888888889,0,3.39479166666667,2.65614035087719,3.4202380952381,3.9,1.67333333333333
0007CD77C5,3.194,3.99218106995885,2.77892156862745,3.26,3.39479166666667,0,2.2405303030303,1.90277777777778,3.35747663551402,2.6156862745098
0007CDE223,2.67222222222222,3.13949044585987,1.89242424242424,1.83333333333333,2.65614035087719,2.2405303030303,0,2.91666666666667,2.33461538461538,2.30555555555556
0007CDEC0B,0,3.205,2.42222222222222,1.45,3.4202380952381,1.90277777777778,2.91666666666667,0,2.1375,1.40666666666667
0007CDEEE2,2.23162393162393,3.28148148148148,1.98484848484848,1.62857142857143,3.9,3.35747663551402,2.33461538461538,2.1375,0,1.57777777777778
0007CE0327,3.76666666666667,2.53464052287582,3.04,0,1.67333333333333,2.6156862745098,2.30555555555556,1.40666666666667,1.57777777777778,0
