ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,61,12,53,16,62,13,11,20,52
0007CB1E1F,79,0,39,56,22,65,18,32,26,138
0007CB2183,19,35,0,34,24,53,7,22,25,107
0007CB2277,64,34,33,0,37,82,17,20,33,138
0007CB3D9B,16,33,17,30,0,70,57,42,44,219
0007CB3F5E,61,38,26,73,35,0,43,50,19,79
0007CB6BC3,4,21,6,31,42,51,0,35,13,51
0007F2945F,20,21,17,26,34,62,27,0,44,149
0007F2B8A6,26,23,18,34,69,50,20,61,0,209
0007F2E455,56,57,55,118,205,103,72,97,92,0
