ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,187,54,209,44,190,31,41,69,175
0007CB1E1F,187,0,111,168,107,138,60,74,102,318
0007CB2183,54,111,0,57,55,127,21,64,89,178
0007CB2277,209,168,57,0,57,200,61,61,112,265
0007CB3D9B,44,107,55,57,0,155,164,122,171,630
0007CB3F5E,190,138,127,200,155,0,173,184,134,315
0007CB6BC3,31,60,21,61,164,173,0,112,49,168
0007F2945F,41,74,64,61,122,184,112,0,156,318
0007F2B8A6,69,102,89,112,171,134,49,156,0,408
0007F2E455,175,318,178,265,630,315,168,318,408,0
