ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,2,2,2,1,4,0,0,0,0
0007CB1E1F,2,0,0,1,1,0,1,0,2,2
0007CB2183,1,2,0,1,0,1,0,1,1,2
0007CB2277,0,1,2,0,11,6,5,3,0,2
0007CB3D9B,0,3,0,6,0,9,4,1,1,13
0007CB3F5E,7,2,0,4,3,0,11,1,0,13
0007CB6BC3,0,2,1,1,4,7,0,3,3,5
0007F2945F,0,1,1,0,1,5,3,0,19,8
0007F2B8A6,1,1,0,0,2,3,1,9,0,12
0007F2E455,2,1,1,3,12,7,4,15,4,0
