ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,35.4015864176991,17.7792966344828,30.3607143,29.390471005042,56.7616211285714,54.4100391666666,47.0542334163265,47.4347597558824,48.2888310391304
0007CB7051,35.4015864176991,0,61.25113916,0,58.5733925153846,59.16454128,64.0211814,29.9180279545455,26.1520681923077,63.629217
0007CD5116,17.7792966344828,61.25113916,0,0,48.36006926,0,7.87295874444444,58.9182782,0,0
0007CD765E,30.3607143,0,0,0,55.2123468,0,0,0,2.99167553333333,0
0007CD86B3,29.390471005042,58.5733925153846,48.36006926,55.2123468,0,62.4704959125,62.9084127884615,65.3666499833333,54.5023044351351,23.2831550666667
0007CDAD6B,56.7616211285714,59.16454128,0,0,62.4704959125,0,0,37.7997085,55.0016648,0
0007CDADED,54.4100391666666,64.0211814,7.87295874444444,0,62.9084127884615,0,0,18.3202622509091,11.21145437,1.20059768125
0007CDC395,47.0542334163265,29.9180279545455,58.9182782,0,65.3666499833333,37.7997085,18.3202622509091,0,31.8916963722222,67.01141605
0007CDC443,47.4347597558824,26.1520681923077,0,2.99167553333333,54.5023044351351,55.0016648,11.21145437,31.8916963722222,0,50.857833
0007CDE4F0,48.2888310391304,63.629217,0,0,23.2831550666667,0,1.20059768125,67.01141605,50.857833,0
