ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,61.1127773090278,54.6372501128954,56.1444341169014,58.2942024764228,28.5134391566667,55.6965198236422,60.9358520827957,42.0643905712871,51.7080889622568
0007CB0942,61.1127773090278,0,45.1430540842857,60.5527381953704,58.6922091,63.4658352928571,52.2382656879808,29.9844089774775,61.1466547518518,55.8760023032787
0007CB44CE,54.6372501128954,45.1430540842857,0,61.3084533529126,46.5186454267974,60.3709772252427,47.609978649692,56.9203585174419,58.492453315126,52.244086978125
0007CB7051,56.1444341169014,60.5527381953704,61.3084533529126,0,50.6360804989362,53.7126367207547,61.7944688070422,61.1990643982301,58.4233897954023,29.3424729273885
0007CD6778,58.2942024764228,58.6922091,46.5186454267974,50.6360804989362,0,57.051221608,58.6603886705882,64.3638797727273,31.6715115846847,52.51033342
0007CD765E,28.5134391566667,63.4658352928571,60.3709772252427,53.7126367207547,57.051221608,0,58.0014832957983,58.6522154283019,58.1079377055556,63.0367659706897
0007CD77C5,55.6965198236422,52.2382656879808,47.609978649692,61.7944688070422,58.6603886705882,58.0014832957983,0,53.489677691342,59.3754882691275,56.3128071208333
0007CDADED,60.9358520827957,29.9844089774775,56.9203585174419,61.1990643982301,64.3638797727273,58.6522154283019,53.489677691342,0,41.1554753403361,45.2016224552941
0007CDC443,42.0643905712871,61.1466547518518,58.492453315126,58.4233897954023,31.6715115846847,58.1079377055556,59.3754882691275,41.1554753403361,0,26.6098015522876
0007CDDBAF,51.7080889622568,55.8760023032787,52.244086978125,29.3424729273885,52.51033342,63.0367659706897,56.3128071208333,45.2016224552941,26.6098015522876,0
