ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,60,120,105,41,31,219,58,60,79
0007CB0942,32,0,42,33,11,8,45,23,15,16
0007CB44CE,184,87,0,84,47,55,197,79,48,63
0007CB7051,131,34,61,0,25,37,65,32,26,79
0007CD6778,36,24,43,35,0,12,50,12,28,25
0007CD765E,39,8,26,35,6,0,34,14,15,16
0007CD77C5,243,67,142,78,27,49,0,73,54,67
0007CDADED,69,25,49,43,13,25,88,0,30,31
0007CDC443,54,9,35,24,12,20,45,40,0,42
0007CDDBAF,80,21,64,107,21,21,100,14,34,0
