ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,1.11111111111111,3.72156862745098,3.25333333333333,1.61041666666667,2.59090909090909,3.245,1.64137931034483,2.27111111111111,1.75438596491228
0007CB0942,1.11111111111111,0,2.57777777777778,2.62395833333333,2.99012345679012,2.70724637681159,2.85907590759076,2.65238095238095,1.875,3.12333333333333
0007CB2302,3.72156862745098,2.57777777777778,0,1.28333333333333,1.71666666666667,2.0047619047619,2.95747126436782,4.08333333333333,0,2.04285714285714
0007CB30A6,3.25333333333333,2.62395833333333,1.28333333333333,0,1.16666666666667,1.77333333333333,0,2.30833333333333,1.8,1.52
0007CB3713,1.61041666666667,2.99012345679012,1.71666666666667,1.16666666666667,0,2.19894736842105,1.97777777777778,2.0974358974359,1.56,1.8479674796748
0007CB47A6,2.59090909090909,2.70724637681159,2.0047619047619,1.77333333333333,2.19894736842105,0,2.76007326007326,2.89242424242424,2.85791666666667,1.71446540880503
0007CDDBAF,3.245,2.85907590759076,2.95747126436782,0,1.97777777777778,2.76007326007326,0,3.03293172690763,3.52352941176471,2.03913043478261
0007CDE223,1.64137931034483,2.65238095238095,4.08333333333333,2.30833333333333,2.0974358974359,2.89242424242424,3.03293172690763,0,1.83859649122807,3.14133333333333
0007CDEC0B,2.27111111111111,1.875,0,1.8,1.56,2.85791666666667,3.52352941176471,1.83859649122807,0,0
0007CE0327,1.75438596491228,3.12333333333333,2.04285714285714,1.52,1.8479674796748,1.71446540880503,2.03913043478261,3.14133333333333,0,0
