ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,0.0770117592806086,0.0625607149795999,0.0282726346983375,0,0.137643917063462,0,0.0379475781313528,0.0256590406768249,0.0373461103347308
0007CB3491,0.254356493302871,0,0.135865131877096,0.115996750534903,0.0886127245711199,0.174766331594991,0.0411978633935675,0.19328282526994,0.0979646947042057,0.243199379890027
0007CB4837,0.113760819643173,0.0459470643228249,0,0.0634732662845113,0.300807537012113,0.0283551255888947,0.0435102827035295,0.109313109844459,0.0518452767915187,0.0485016087430532
0007CB6AB4,0.221386014424585,0.275007120671648,0.406842433354112,0,0.0800943608177938,0.224838132668228,0.757605194539599,0.338940921473881,0.630857128569285,0.232795581716445
0007CD5116,0,0.0173311141053077,0.113300804765224,0.00678066037735849,0,0.0282266002392598,0.169749370690599,0.0904960930401599,0.0238637917673337,0.0262579079839459
0007CDE223,0.489495139542176,0.188175616107637,0.0825418943199736,0.102112152312955,0.258601553829079,0,0.0310695080661223,0.258008709658176,0.127662899434915,0.23612625051474
0007CDE4F0,0,0.016025286797374,0.0539363719362314,0.108656278643446,0.357785467128028,0.0114147733508945,0,0.0647574517825831,0.0218227232392284,0.0590354470010508
0007CDEAA7,0.0891435848455905,0.131834149384909,0.19258754946598,0.0975125573519149,0.270701213988041,0.163441916710755,0.121811785400176,0,0.0631219682952443,0.0549752101174537
0007CDEC0B,0.178567790567383,0.212562221107027,0.304132595064354,0.577363585395714,0.3,0.257261985740559,0.109324405905274,0.200799379585993,0,0.355097739989827
0007CDEEE2,0.14291535092187,0.272348736589402,0.137277037706028,0.109961212370851,0.195377087902818,0.245584863829894,0.156438231617229,0.100159404888417,0.183271240686103,0
