ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,49.2370731609195,34.1969416461538,54.2943852222222,45.9600897606061,47.0366605204082,55.6045454513513,57.199791425,37.3116402257143,63.530118185
0007CB2224,49.2370731609195,0,38.4499254689655,46.6110361444444,55.3760893092308,45.0653877513514,35.7835703249027,57.4374822,52.2642802568182,22.3039892138298
0007CB3491,34.1969416461538,38.4499254689655,0,68.50248865,60.1705711538462,59.6458331386364,33.8604508714286,54.9872634875,59.53277303,58.2851275625
0007CB4837,54.2943852222222,46.6110361444444,68.50248865,0,40.5065002,62.0338444857143,44.6823249222222,0.7951997,63.1385977444444,61.9072238
0007CD72E3,45.9600897606061,55.3760893092308,60.1705711538462,40.5065002,0,54.2549852454545,50.7657933506494,45.9749536416667,46.5359532214286,59.3248090575758
0007CD77C5,47.0366605204082,45.0653877513514,59.6458331386364,62.0338444857143,54.2549852454545,0,48.2327453979381,56.4259989448276,6.421177934,42.6630172891892
0007CDE223,55.6045454513513,35.7835703249027,33.8604508714286,44.6823249222222,50.7657933506494,48.2327453979381,0,39.8781113851852,43.4030666242424,37.8860480474576
0007CDEC0B,57.199791425,57.4374822,54.9872634875,0.7951997,45.9749536416667,56.4259989448276,39.8781113851852,0,66.0548912166667,41.238206225
0007CDEEE2,37.3116402257143,52.2642802568182,59.53277303,63.1385977444444,46.5359532214286,6.421177934,43.4030666242424,66.0548912166667,0,35.3752740285714
0007CE0327,63.530118185,22.3039892138298,58.2851275625,61.9072238,59.3248090575758,42.6630172891892,37.8860480474576,41.238206225,35.3752740285714,0
